ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
-999999,spETH,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
-999999,stUSDS,,,,,,,,,,,,,,18189.707755905507,38392.69112774795,34483.229903360334,2567.498843936495,2940.9735911145144,8379.94323509293,3403.7477577220575,3088.4834466001053,2416.313685152217,113862.5893466321
-999999,USDS-CLE,1723.6920202524464,9340.458411692249,8895.985037401835,6963.367239195586,6361.5054967709775,4467.28289007443,4218.210859257115,3861.685888545295,3898.7624365131383,3475.118244884933,3432.990434304532,3003.4071595807663,993.1211996278436,1837.3868721759745,2071.6401138393558,3043.555905946383,3577.671967725463,2132.665476014649,1631.1025462245539,1235.529987281137,893.9614049883403,609.7187024347323,77668.82029473175
-999999,USDS-SKY,75116.03443617138,181366.6355993637,148973.66017993915,109451.23108192331,84897.86629267626,27842.189682601907,25897.554620375224,24371.989009874073,23359.284325510216,17346.651770641405,14825.209311820323,13868.566646110778,11976.462017914973,11049.742973151673,9515.9477855527,9891.875621975152,8027.601556603575,4570.906514113384,4471.409977448357,3634.3821006577014,3717.3555294356265,2987.299411307863,817159.856445169
-999999,USDS-SPK,,,,,,,,,,182.2250906234949,25651.738095080127,25559.71265035364,13171.135908265445,4351.436152677302,1463.1243687486553,643.1814057557207,445.268378188312,208.5922308892758,351.4855199287977,397.73319432184815,172.48471755420894,106.12918294479022,72704.24689533161
0,spUSDC,,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290332105,0.0011466197552990488,0.001162008449636464
0,stUSDS,,,,,,,,,,,,,,36.675462501374646,64.43892638482573,55.30583890452397,0.004870332829624502,0.004434183849103175,0.004937199097313404,0.004801662105313361,0.004991336380264062,0.004044086352798623,156.44830659133876
0,sUSDC,,,,,,,,,,4629.587340101208,9198.946928903557,15869.171846383919,6073.4908077725895,3854.254322295846,2227.332929275955,44.73485785869838,14.301572646363498,12.768048057922073,13.927248277991048,11.938681912638675,9.506036940382629,5.707508204922105,41965.66812863198
0,sUSDS,474.5074003822152,8164.179615833278,10401.039214868,11525.378844435581,32264.642358003428,18315.729998762876,11179.070237833817,14544.170153960786,19686.486874588994,48766.162330343774,42272.68035875517,52879.83738151865,70581.35215070905,74548.5967632916,73565.20177910288,95316.47233543643,79746.03826018493,65657.9713945922,72961.66043267731,74224.91838154773,75156.16044138458,53853.64397191439,1006085.9006801277
0,USDS-CLE,,,,,118.4355573440726,13.692982902488524,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.00042360231015337035,0.0003826085382030442,324.5719582459788,1121.4381124454737,340.38485218245245,142.53794604180135,2061.0672305208795
0,USDS-SKY,4.401314091599466,11.203737004808728,,0.000002462503109503134,3524.6171423948526,3972.354163381988,4539.834965420368,5560.125177195898,5410.969680679668,6411.146737140767,2890.874700574073,1773.4041185570652,3141.946773080427,2492.1769560649745,400.40465450305976,112.58876518670374,93.87074582121544,84.776512549346,4.305060941002724,0.21051423973706793,0.21832827918148145,0.17607119288829154,40429.606120762124
0,USDS-SPK,,,,,,,,,,0.00019453477318019495,0.0010618673974356605,0.0010618673974356605,0.0014587430536138566,0.0015699379225244923,0.0015192947637333797,0.0015699379225244923,0.0013089311383739147,0.0011822603830474066,180.5964086193762,179.82666709926752,115.57689776385295,83.06914339800159,559.0800442552502
1,stUSDS,,,,,,,,,,,,,,5515.856264150469,2822.859095309907,5440.326377182756,1800.5532416249325,3037.9224699586425,2945.7939443625082,3010.9825794125554,3711.545437176375,2570.467100673894,30856.306509852035
1,sUSDS,,,,0.0003645113459577506,26304.43057543552,67019.15989720437,39394.05351551152,34098.985244142474,35175.36900503205,37811.839222836665,38925.7651526042,37758.8224316658,64378.03856333948,83329.17770166423,75393.0206070729,98376.7901303627,81433.3940853305,66656.72703397303,97033.39656412479,94312.71148484977,104095.72697008937,81906.94061457271,1163404.3491643236
1,USDS-CLE,,,,,46.59510060761274,706.7903577216373,3579.5589954962184,4302.142483796068,5162.989467549458,5320.316723974892,4189.404510499298,4210.4721531340665,2881.1467749746353,6856.119280847898,6485.803069235147,5954.684275045502,5139.569418021427,4193.825801997757,6259.944050521851,5552.85434194411,8195.19685678184,5979.9065376324415,85017.32019978185
1,USDS-SKY,,,,,2539.2014803539228,32015.58823050835,120139.26551698534,124790.53944289174,112970.08649062597,102638.2171554632,89079.95684317105,45345.64020189439,47740.6665418796,48216.00590768282,28350.573275756287,29287.411609004812,26939.33549502676,5782.404728469448,2741.322685099765,1747.612625557761,1012.7506996229465,560.5377727558846,821897.1167027501
1,USDS-SPK,,,,,,,,,,975.9058319672391,72849.96362410365,72140.53933635172,15732.001000278398,13130.821950005085,26928.25479347305,21642.30432474869,14315.545141962413,17223.42714005231,11831.24961987136,11558.71954463901,12022.194630382746,8008.151218468838,298359.07815630455
