ref_code,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
-999999,76839.72645642383,190707.09401105595,157869.645217341,116414.5983211189,91259.37178944724,32309.472572676335,30115.76547963234,28233.67489841937,27258.046762023354,21003.995106149832,43909.937841204985,42431.68645604518,26140.71912580826,35428.27375391046,51443.40339588865,48061.84283703759,14618.040746453846,9853.137812131821,14833.94127869464,8671.393039982746,7872.285098578281,1075276.052000025
0 (spUSDC),,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290333575,0.000015388694337416812
0 (stUSDS),,,,,,,,,,,,,,36.67546250137466,64.43892638482573,55.30583890452396,0.004870332829624501,0.004434183849103175,0.004937199097313403,0.004801662105313361,0.004991336380264062,156.444262504986
0 (sUSDC),,,,,,,,,,4629.587340101208,9198.946928852856,15869.171846383917,6073.49080777259,3854.2543222958466,2227.3329292759554,44.73485785869836,35.700642793391154,31.872545359592493,34.7662266354923,29.802220282075705,23.729672084396547,42053.390339696016
0 (sUSDS),474.5074003822152,8164.17961583328,10401.038998041564,11525.336631591696,32263.42339034536,18255.40741832472,8292.155016715975,7586.5042106982955,7915.770444780208,4693.855075672736,4442.0173863175705,3968.472088222267,3757.215886906587,3550.3125123660493,2687.4761350839744,2823.034588043094,1962.2143074942933,1004.4635239598532,3118.9311782473915,9686.652415387507,14812.280849327826,161385.24907374245
0 (USDS-CLE),,,,,118.4355573440726,13.692982902488524,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.00042360231015337035,0.0003826085382030442,324.5719582459788,1121.4381124454737,340.38485218245245,1918.5292844790783
0 (USDS-SKY),4.401314091599466,11.203737004808728,,0.000002462503109503134,3524.6171423948526,3972.354163381988,4539.834965420368,5560.125177195898,5410.969680679668,6411.146737140767,2890.874700574073,1773.4041185570652,3141.946773080427,2492.1769560649745,400.40465450305976,112.58876518670374,93.87074582121544,84.776512549346,4.305060941002724,0.21051423973706793,0.21832827918148145,40429.43004956924
0 (USDS-SPK),,,,,,,,,,0.00019453477318019495,0.0010618673974356605,0.0010618673974356605,0.0014587430536138566,0.0015699379225244923,0.0015192947637333797,0.0015699379225244923,0.0013089311383739147,0.0011822603830474066,180.5964086193762,179.82666709926752,115.57689776385295,476.0109008572486
1 (stUSDS),,,,,,,,,,,,,,5515.85626415047,2822.859095309908,5440.326377182756,1800.553241624933,3037.922469958642,2945.793944362508,3010.9825794125545,3711.5454371763744,28285.839409178145
1 (sUSDS),,,,0.0003645113459577506,26304.43057543552,67019.15989720437,39394.05351551151,34098.98524414246,35175.36900503208,37811.839222836665,38925.76515260422,37758.822431665794,64378.038563339476,83329.17770166423,75393.0206070729,98376.79013036273,81433.39408533052,66656.7270398989,97033.39656412484,94312.71148484979,104095.72697008938,1081497.4085556767
