ref_code,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
-999999,76839.72645642383,190707.09401105595,157869.645217341,116414.5983211189,91259.37178944724,32309.472572676335,30115.76547963234,28233.67489841937,27258.046762023354,21003.995106149832,43909.937841204985,42431.68645604518,26140.71912580826,35428.27375391046,51443.40339588866,48061.842837037606,14618.040746453846,9853.137812131823,14833.941278694636,8671.393039982746,7872.285098578281,7369.062789306498,1082645.1147893316
0 (spUSDC),,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290354666,0.001148618918347232,0.0011640076126846698
0 (stUSDS),,,,,,,,,,,,,,36.67546250137465,64.43892638482572,55.30583890452395,0.0048703328296245,0.004434183849103175,0.004937199097313402,0.004801662105313361,0.004991336380264064,0.004855363181039349,156.44911786816698
0 (sUSDC),,,,,,,,,,4629.587340101208,9198.946928903557,15869.171846383915,6073.49080777259,3854.254322295848,2227.3329292759554,44.734857858698376,35.700642793391154,31.87254535959249,34.766226635492295,29.802220282075705,23.72967208439656,17.093291250897003,42070.48363099762
0 (sUSDS),474.50740038221517,8164.179615833277,10401.038998041564,11525.336631591694,32263.423390345357,18255.407418324718,8292.155016715973,7586.5042106982955,7915.770444780208,4693.855075672737,4442.017386317571,3968.4720882222673,3757.215886906587,3550.3125123660498,2687.476135083975,2823.034588043095,1962.214307494293,1004.4635239598529,3118.9311782473906,9686.652415387507,14812.280849327824,7210.632619214881,168595.88169295734
0 (USDS-CLE),,,,,118.4355573440726,13.692982902488524,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.00042360231015337035,0.0003826085382030442,324.5719582459788,1121.4381124454737,340.38485218245245,171.04553525016163,2089.57481972924
0 (USDS-SKY),4.401314091599466,11.203737004808728,,0.000002462503109503134,3524.6171423948526,3972.354163381988,4539.834965420368,5560.125177195898,5410.969680679668,6411.146737140767,2890.874700574073,1773.4041185570652,3141.946773080427,2492.1769560649745,400.40465450305976,112.58876518670374,93.87074582121544,84.776512549346,4.305060941002724,0.21051423973706793,0.21832827918148145,0.2112854314659498,40429.641335000706
0 (USDS-SPK),,,,,,,,,,0.00019453477318019495,0.0010618673974356605,0.0010618673974356605,0.0014587430536138566,0.0015699379225244923,0.0015192947637333797,0.0015699379225244923,0.0013089311383739147,0.0011822603830474066,180.5964086193762,179.82666709926752,115.57689776385295,99.15189580086363,575.1627966581123
1 (stUSDS),,,,,,,,,,,,,,5515.856264150469,2822.859095309908,5440.326377182757,1800.5532416249332,3037.9224699586425,2945.793944362508,3010.9825794125554,3711.545437176375,3042.047036146145,31327.886445324293
1 (sUSDS),,,,0.0003645113459577506,26304.43057543552,67019.15989720437,39394.053515511514,34098.98524414246,35175.36900503209,37811.839222836665,38925.76515260421,37758.822448119216,64378.0386683246,83329.1778105701,75393.02071285968,98376.79024006442,81433.3941771014,66656.72711712605,97033.39665647426,94312.71157449587,104095.72706300336,97860.67314674007,1179358.0825921574
1 (USDS-CLE),,,,,46.59510060761274,706.7903577216373,3579.5589954962184,4302.142483796068,5162.989467549458,5320.316723974892,4189.404510499298,4210.4721531340665,2881.1467749746353,6856.119280847898,6485.803069235147,5954.684275045502,5139.569418021427,4193.825801997757,6259.944050521851,5552.85434194411,8195.19685678184,7045.9315796469355,86083.34524179634
1 (USDS-SKY),,,,,2539.2014803539228,32015.58823050835,120139.26551698534,124790.53944289174,112970.08649062597,102638.2171554632,89079.95684317105,45345.64020189439,47740.6665418796,48216.00590768282,28350.573275756287,29287.411609004812,26939.33549502676,5782.404728469448,2741.322685099765,1747.612625557761,1012.7506996229465,657.8992651853764,821994.4781951796
