ref_code,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
-999999,76839.72645642383,190707.09401105595,157869.645217341,116414.5983211189,91259.37178944724,32309.472572676335,30115.76547963234,28233.67489841937,27258.046762023354,21003.995106149832,43909.937841204985,42431.68645604518,26140.71912580826,35428.27375391046,51443.403395888665,48061.8428370376,14618.040746453846,9853.137812131821,14833.941278694638,8671.393039982746,7872.285098578281,1075276.052000025
0 (spUSDC),,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290310883,0.00001538869433739412
0 (stUSDS),,,,,,,,,,,,,,36.67546250137464,64.43892638482572,55.30583890452397,0.0048703328296245,0.004434183849103175,0.004937199097313402,0.004801662105313361,0.004991336380264062,156.44426250498594
0 (sUSDC),,,,,,,,,,4629.587340101209,9198.946928802152,15869.171846383912,6073.49080777259,3854.254322295847,2227.332929275955,44.73485785869837,35.700642793391154,31.872545359592483,34.766226635492295,29.802220282075705,23.72967208439654,42053.3903396453
0 (sUSDS),474.5074003822152,8164.17961583328,10401.038998041566,11525.336631591694,32263.42339034536,18255.407418324725,8292.155016715973,7586.504210698294,7915.770444780208,4693.855075672737,4442.0173863175705,3968.4720882222664,3757.215886906586,3550.3125123660498,2687.4761350839744,2823.0345880430946,1962.2143074942933,1004.4635239598531,3118.931178247392,9686.652415387503,14812.28084932782,161385.24907374245
0 (USDS-CLE),,,,,118.4355573440726,13.692982902488524,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.00042360231015337035,0.0003826085382030442,324.5719582459788,1121.4381124454737,340.38485218245245,1918.5292844790783
0 (USDS-SKY),4.401314091599466,11.203737004808728,,0.000002462503109503134,3524.6171423948526,3972.354163381988,4539.834965420368,5560.125177195898,5410.969680679668,6411.146737140767,2890.874700574073,1773.4041185570652,3141.946773080427,2492.1769560649745,400.40465450305976,112.58876518670374,93.87074582121544,84.776512549346,4.305060941002724,0.21051423973706793,0.21832827918148145,40429.43004956924
0 (USDS-SPK),,,,,,,,,,0.00019453477318019495,0.0010618673974356605,0.0010618673974356605,0.0014587430536138566,0.0015699379225244923,0.0015192947637333797,0.0015699379225244923,0.0013089311383739147,0.0011822603830474066,180.5964086193762,179.82666709926752,115.57689776385295,476.0109008572486
1 (stUSDS),,,,,,,,,,,,,,5515.856264150469,2822.859095309907,5440.326377182757,1800.5532416249334,3037.922469958642,2945.793944362508,3010.9825794125554,3711.545437176375,28285.83940917814
1 (sUSDS),,,,0.0003645113459577506,26304.430575435526,67019.15989720436,39394.05351551151,34098.98524414246,35175.36900503207,37811.83922283666,38925.76515260421,37758.82243267101,64378.03856333949,83329.17770166426,75393.0206070729,98376.7901303627,81433.3940853305,66656.72703397303,97033.39656412482,94312.71148484979,104095.72697008935,1081497.408550756
1 (USDS-CLE),,,,,46.59510060761274,706.7903577216373,3579.5589954962184,4302.142483796068,5162.989467549458,5320.316723974892,4189.404510499298,4210.4721531340665,2881.1467749746353,6856.119280847898,6485.803069235147,5954.684275045502,5139.569418021427,4193.825801997757,6259.944050521851,5552.85434194411,8195.19685678184,79037.41366214941
1 (USDS-SKY),,,,,2539.2014803539228,32015.58823050835,120139.26551698534,124790.53944289174,112970.08649062597,102638.2171554632,89079.95684317105,45345.64020189439,47740.6665418796,48216.00590768282,28350.573275756287,29287.411609004812,26939.33549502676,5782.404728469448,2741.322685099765,1747.612625557761,1012.7506996229465,821336.5789299943
1 (USDS-SPK),,,,,,,,,,975.9058319672391,72849.96362410365,72140.53933635172,15732.001000278398,13130.821950005085,26928.25479347305,21642.30432474869,14315.545141962413,17223.42714005231,11831.24961987136,11558.71954463901,12022.194630382746,290350.9269378357
2,,,,,,6.775883427292598e-20,1.748481085068351e-14,1.839413266946305e-14,0.0009794940112512044,1.6094498826654752e-12,5.5852868105725776e-15,3.1680605647655165e-14,3.473630068652419e-11,5.044270667952489e-20,4.864503537380469e-18,1.510199168725796e-16,1.4896056696028504e-16,4.011132847252424e-20,7.799497394203697e-16,6.833373429511374e-16,5.326649569960683e-18,0.0009794940476718736
10,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,1.5025358710190683e-7
99,6031.644840299675,247657.08552496016,182546.51916893348,283058.96458263934,540698.4677580514,1134757.2840675316,1528867.2751802078,1287448.5847784257,1017445.940535451,1009999.8331909282,913831.8681123072,796722.850330469,785508.927532042,906559.0376608871,1028867.9723544505,1370897.6449879403,1259358.7707206141,1372644.1971435174,1536126.231583283,1534420.6532285425,1777928.2408257402,20521377.994107217
127,,,,,,,0.9410251834931754,22.898184937043847,468.7250016409917,6798.184925744376,16833.567599760434,13943.59941862608,5796.29732626103,3688.2178489076405,2803.2002858498563,7140.769821385604,7581.550624617085,6588.1118966525255,5410.520383525396,3613.3572644627193,1824.5906893255078,82514.53229687978
128,,176.86743261267304,12064.25398927354,55371.48870359997,103228.32733510266,201671.26414329134,288642.0491261001,263392.4859112706,426430.46880489925,457573.64134889847,597329.3783051566,959672.1023276583,968208.1281967862,1059528.4440347182,1313100.7964519437,1444191.5929441615,1021651.0013250803,924737.4204670094,1278806.7146640033,1378577.0409562243,1513777.2797986513,14268130.746266438
129,,,,,,,,,,,,,,,,0.6419647706498743,2.5783950539830136,0.8784186794341433,0.9052495722644245,0.8945214548047751,1.4871938369973223,7.385743368133551
130,,,,,,,,,,,,,,0.0009179100626074357,12.839958648873228,319.2808534108773,284.5650466852062,263.830960323499,6315.989212986159,4736.493484507669,4041.56891910306,15974.569353575405
131,,,,,,,,,,,,,,0.00021202415400666352,0.3292901557550843,1544.8852466584206,2533.881546392776,801.1732412127271,4314.4935069948915,4674.330517664101,3911.6745866146607,17780.76814771749
132,,,,,,,,,,,,,,,,0.0002692086274316935,0.001789627473493284,0.00015628070971130512,0.011998198875825343,0.008102471802866553,0.00044862620908329423,0.02276441369841147
170,,,,,,,,,8.277904076178812e-7,0.000010444326487678806,0.00001604584945623312,0.000016107280441664418,0.000015648235815133716,0.000016232629520848732,0.00001576772603868507,0.000016351254330525207,0.00001367863487269397,0.000012394119953646112,0.000013764867344284045,0.00001336192509272738,0.000013849008872408529,0.000174473648634147
