ref_code,token,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,total_dr_usd
-999999,spETH,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
-999999,stUSDS,,,,,,,,,,,,,,18189.70775590551,38392.69112774795,34483.22990336034,2567.4988439364956,2940.9735911145144,8379.94323509293,3403.747757722058,3088.483446600105,111446.2756614799
-999999,USDS-CLE,1723.6920202524464,9340.458411692249,8895.985037401835,6963.367239195586,6361.5054967709775,4467.28289007443,4218.210859257115,3861.685888545295,3898.7624365131383,3475.118244884933,3432.990434304532,3003.4071595807663,993.1211996278436,1837.3868721759745,2071.6401138393558,3043.555905946383,3577.671967725463,2132.665476014649,1631.1025462245539,1235.529987281137,893.9614049883403,77059.10159229701
-999999,USDS-SKY,75116.03443617138,181366.6355993637,148973.66017993915,109451.23108192331,84897.86629267626,27842.189682601907,25897.554620375224,24371.989009874073,23359.284325510216,17346.651770641405,14825.209311820323,13868.566646110778,11976.462017914973,11049.742973151673,9515.9477855527,9891.875621975152,8027.601556603575,4570.906514113384,4471.409977448357,3634.3821006577014,3717.3555294356265,814172.557033861
-999999,USDS-SPK,,,,,,,,,,182.2250906234949,25651.738095080127,25559.71265035364,13171.135908265445,4351.436152677302,1463.1243687486553,643.1814057557207,445.268378188312,208.5922308892758,351.4855199287977,397.73319432184815,172.48471755420894,72598.11771238683
0,spUSDC,,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290310883,0.00001538869433739412
0,stUSDS,,,,,,,,,,,,,,36.67546250137464,64.43892638482572,55.30583890452397,0.0048703328296245,0.004434183849103175,0.004937199097313402,0.004801662105313361,0.004991336380264062,156.44426250498594
0,sUSDC,,,,,,,,,,4629.587340101209,9198.946928802152,15869.171846383912,6073.49080777259,3854.254322295847,2227.332929275955,44.73485785869837,35.700642793391154,31.872545359592483,34.766226635492295,29.802220282075705,23.72967208439654,42053.3903396453
0,sUSDS,474.5074003822152,8164.17961583328,10401.038998041566,11525.336631591694,32263.42339034536,18255.407418324725,8292.155016715973,7586.504210698294,7915.770444780208,4693.855075672737,4442.0173863175705,3968.4720882222664,3757.215886906586,3550.3125123660498,2687.4761350839744,2823.0345880430946,1962.2143074942933,1004.4635239598531,3118.931178247392,9686.652415387503,14812.28084932782,161385.24907374245
0,USDS-CLE,,,,,118.4355573440726,13.692982902488524,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.00042360231015337035,0.0003826085382030442,324.5719582459788,1121.4381124454737,340.38485218245245,1918.5292844790783
0,USDS-SKY,4.401314091599466,11.203737004808728,,0.000002462503109503134,3524.6171423948526,3972.354163381988,4539.834965420368,5560.125177195898,5410.969680679668,6411.146737140767,2890.874700574073,1773.4041185570652,3141.946773080427,2492.1769560649745,400.40465450305976,112.58876518670374,93.87074582121544,84.776512549346,4.305060941002724,0.21051423973706793,0.21832827918148145,40429.43004956924
0,USDS-SPK,,,,,,,,,,0.00019453477318019495,0.0010618673974356605,0.0010618673974356605,0.0014587430536138566,0.0015699379225244923,0.0015192947637333797,0.0015699379225244923,0.0013089311383739147,0.0011822603830474066,180.5964086193762,179.82666709926752,115.57689776385295,476.0109008572486
1,stUSDS,,,,,,,,,,,,,,5515.856264150469,2822.859095309907,5440.326377182757,1800.5532416249334,3037.922469958642,2945.793944362508,3010.9825794125554,3711.545437176375,28285.83940917814
1,sUSDS,,,,0.0003645113459577506,26304.430575435526,67019.15989720436,39394.05351551151,34098.98524414246,35175.36900503207,37811.83922283666,38925.76515260421,37758.82243267101,64378.03856333949,83329.17770166426,75393.0206070729,98376.7901303627,81433.3940853305,66656.72703397303,97033.39656412482,94312.71148484979,104095.72697008935,1081497.408550756
1,USDS-CLE,,,,,46.59510060761274,706.7903577216373,3579.5589954962184,4302.142483796068,5162.989467549458,5320.316723974892,4189.404510499298,4210.4721531340665,2881.1467749746353,6856.119280847898,6485.803069235147,5954.684275045502,5139.569418021427,4193.825801997757,6259.944050521851,5552.85434194411,8195.19685678184,79037.41366214941
1,USDS-SKY,,,,,2539.2014803539228,32015.58823050835,120139.26551698534,124790.53944289174,112970.08649062597,102638.2171554632,89079.95684317105,45345.64020189439,47740.6665418796,48216.00590768282,28350.573275756287,29287.411609004812,26939.33549502676,5782.404728469448,2741.322685099765,1747.612625557761,1012.7506996229465,821336.5789299943
1,USDS-SPK,,,,,,,,,,975.9058319672391,72849.96362410365,72140.53933635172,15732.001000278398,13130.821950005085,26928.25479347305,21642.30432474869,14315.545141962413,17223.42714005231,11831.24961987136,11558.71954463901,12022.194630382746,290350.9269378357
2,sUSDS,,,,,,6.775883427292598e-20,1.748481085068351e-14,1.839413266946305e-14,0.0009794940112512044,1.6094498826654752e-12,5.5852868105725776e-15,3.1680605647655165e-14,3.473630068652419e-11,5.044270667952489e-20,4.864503537380469e-18,1.510199168725796e-16,1.4896056696028504e-16,4.011132847252424e-20,7.799497394203697e-16,6.833373429511374e-16,5.326649569960683e-18,0.0009794940476718736
10,sUSDC,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,1.5025358710190683e-7
99,sUSDS,6031.644840299675,247657.08552496016,182546.51916893348,283058.96458263934,540698.4677580514,1134757.2840675316,1528867.2751802078,1287448.5847784257,1017445.940535451,1009999.8331909282,913831.8681123072,796722.850330469,785508.927532042,906559.0376608871,1028867.9723544505,1370897.6449879403,1259358.7707206141,1372644.1971435174,1536126.231583283,1534420.6532285425,1777928.2408257402,20521377.994107217
127,sUSDC,,,,,,,0.9410251834931754,22.898184937043847,468.7250016409917,6798.184925744376,16833.567599760434,13943.59941862608,5796.29732626103,3688.2178489076405,2803.2002858498563,7140.769821385604,7581.550624617085,6588.1118966525255,5410.520383525396,3613.3572644627193,1824.5906893255078,82514.53229687978
128,spETH,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
128,spPYUSD,,,,,,,,,,,,,,,,7.1520391714906655,37.63970015068171,28.82185642072108,66.14825288914628,156.43827860146814,147.093285864086,443.2934130975939
128,spUSDC,,,,,,,,,,,,,,7607.236501967833,52909.03030412791,140570.55403381604,46895.92076711905,42835.730918925525,76094.73351162893,70591.1567638344,109959.02861420772,547463.3914156276
128,spUSDT,,,,,,,,,,,,,,6671.499850103087,35412.78173871799,60391.37925369181,26236.94646923012,36355.43210240577,58753.237470020336,116887.73721861334,171768.11380974218,512477.1279125246
128,sUSDC,,,,,,,7424.855810208162,37105.5468372406,136133.980067049,199962.44611640624,152592.63612019317,186661.16390105744,239631.51169695662,415476.7318264485,666301.4328489664,689296.2127458818,322316.3464257951,143123.83990346448,129826.6949206634,92073.67195945981,84611.22626291269,3502538.2974427035
128,sUSDS,,176.86743261267304,11688.067360307323,14071.077249174172,65038.30816252489,149245.26085539232,212804.5179344166,113436.6460332371,224950.29363230852,185920.25495747605,112586.03841404409,114923.4696767148,130516.82288627188,176799.46850487756,196723.43434633943,220952.27349715645,359509.234147343,487630.3667749483,771470.5200223083,795004.7506819206,744744.2761820004,5088191.948751377
128,USDS-CLE,,,6.722661370795936,628.8560548208873,1401.7409901227338,1215.0861787721126,1841.8882016263642,3236.737656454107,4295.821187207608,5271.620563464081,4869.442311573244,4128.2147658197455,5867.684963656161,7081.253195360273,5762.127213468534,8552.412126939216,6597.992371524791,4966.638171624745,3409.0875138385495,2642.9321515761326,2314.200304585357,74090.45858380543
128,USDS-SKY,,,369.46396759542154,40671.55539960491,36788.27818245504,51210.9171091269,66570.78717984898,109613.55538433875,61050.37391833408,66019.36284585253,56042.52493422946,44829.794374316545,43343.62328143249,24647.023245331457,25541.549726128836,38222.924405792386,24672.195922511175,3387.1205025728855,2561.8841931601246,1853.8637651654742,221.3950610083518,697618.1933988057
128,USDS-SPK,,,,,,,,,,399.9568656996654,271238.73652511666,609129.4596097498,548848.4853684689,421245.2309106294,330450.44027419447,286198.6848417126,235384.72552140642,206409.470236647,236624.40877949487,299366.49013705325,400011.94627833035,3845308.0353485034
129,sUSDC,,,,,,,,,,,,,,,,0.6415203110271501,2.5779557833585005,0.593354734238549,0.39290645719354683,0.213290069311691,0.5917428320463922,5.0107701871758294
129,sUSDS,,,,,,,,,,,,,,,,0.0004444596227241896,0.00043927062451319096,0.28506394519559425,0.5123431150708777,0.681231385493084,0.8954510049509302,2.3749731809577237
130,spUSDT,,,,,,,,,,,,,,0.0009179100626074357,12.839958648873228,319.2808534108773,284.5650466852062,263.830960323499,6315.989212986159,4736.493484507669,4041.56891910306,15974.569353575405
131,spUSDC,,,,,,,,,,,,,,0.00021202415400666352,0.3292901557550843,1544.8852466584206,2533.881546392776,801.1732412127271,4314.4935069948915,4674.330517664101,3911.6745866146607,17780.76814771749
132,spPYUSD,,,,,,,,,,,,,,,,0.0002692086274316935,0.001789627473493284,0.00015628070971130512,0.011998198875825343,0.008102471802866553,0.00044862620908329423,0.02276441369841147
