month,blockchain,token,ref_code,with_1020,baseline,delta
2025-08-01,ethereum,sUSDC,127,0.00011039486102453959,0.00011039486102453959,0.0
2025-09-01,ethereum,sUSDC,127,0.050417606707066874,0.050417606707066874,0.0
2025-10-01,ethereum,sUSDC,127,0.44005438263357277,0.7812403743965655,-0.3411859917629927
2025-10-01,ethereum,sUSDC,1020,0.3411859917629927,0.0,0.3411859917629927
2025-11-01,ethereum,sUSDC,127,0.20053658828144447,3.9216528352334312,-3.7211162469519867
2025-11-01,ethereum,sUSDC,1020,3.7211162469519867,0.0,3.7211162469519867
2025-12-01,ethereum,sUSDC,127,0.0008925771766798577,5.923353120106482,-5.922460542929802
2025-12-01,ethereum,sUSDC,1020,5.922460542929802,0.0,5.922460542929802
2026-01-01,ethereum,sUSDC,127,1.5113481356996182e-11,6.214467469563439,-6.2144674695483255
2026-01-01,ethereum,sUSDC,1020,6.2144674695483255,0.0,6.2144674695483255
2026-02-01,ethereum,sUSDC,127,2.3629998370671674e-05,6.373045118380626,-6.373021488382255
2026-02-01,ethereum,sUSDC,1020,6.373021488382255,0.0,6.373021488382255
2026-03-01,ethereum,sUSDC,127,2.624729586427941e-17,6.48704799198769,-6.48704799198769
2026-03-01,ethereum,sUSDC,1020,6.48704799198769,0.0,6.48704799198769
2026-04-01,ethereum,sUSDC,127,4.800675847686124e-18,5.460071459461295,-5.460071459461295
2026-04-01,ethereum,sUSDC,1020,5.460071459461295,0.0,5.460071459461295
2026-05-01,ethereum,sUSDC,127,0.0,4.400956232883382,-4.400956232883382
2026-05-01,ethereum,sUSDC,1020,4.400956232883382,0.0,4.400956232883382
2026-06-01,ethereum,sUSDC,127,0.0,1.3550484597969767,-1.3550484597969767
2026-06-01,ethereum,sUSDC,1020,1.3550484597969767,0.0,1.3550484597969767
2026-07-01,ethereum,sUSDC,127,0.0,0.7437099207516075,-0.7437099207516075
2026-07-01,ethereum,sUSDC,1020,0.7437099207516075,0.0,0.7437099207516075
2026-08-01,ethereum,sUSDC,127,0.0,0.5143859048835177,-0.5143859048835177
2026-08-01,ethereum,sUSDC,1020,0.5143859048835177,0.0,0.5143859048835177
