month,ref_code,with_reroute,baseline_1003_only,delta
2024-10-01,99,37.35744797063312,37.35744797063312,0.0
2024-11-01,99,855.9075128591597,855.939805491153,-0.03229263199330035
2024-11-01,1004,0.03229263199329395,0.0,0.03229263199329395
2024-12-01,99,649.0411404735223,1171.5998590529737,-522.5587185794514
2024-12-01,128,8.159229113208895,8.159229113208895,0.0
2024-12-01,1003,2254.4621621178567,2254.4703959657563,-0.008233847899646207
2024-12-01,1004,522.5669524273511,0.0,522.5669524273511
2025-01-01,0,105.92490171598942,105.92490171598942,0.0
2025-01-01,1,352.63493013486567,352.63493013486567,0.0
2025-01-01,99,120.56007324004136,1367.7588910469256,-1247.198817806884
2025-01-01,128,0.6263412683919223,0.6263412683919223,0.0
2025-01-01,1003,4171.130074825461,4171.730658617169,-0.6005837917082317
2025-01-01,1004,1247.799401598592,0.0,1247.799401598592
2025-02-01,0,4.757061111085825e-07,4.757061111085825e-07,0.0
2025-02-01,1,8.048038611826653,8.048038611826653,0.0
2025-02-01,99,540.4090301169372,1864.1897780168522,-1323.780747899915
2025-02-01,128,1.7772806116489352,1.7772806116489352,0.0
2025-02-01,1003,5308.476520394415,5429.313852015722,-120.83733162130648
2025-02-01,1004,1444.6180795212217,0.0,1444.6180795212217
2025-03-01,0,5.296950226461969e-07,5.296950226461969e-07,0.0
2025-03-01,1,0.0020612440124514286,0.0020612440124514286,0.0
2025-03-01,99,395.1834307912782,2145.7481423147797,-1750.5647115235015
2025-03-01,128,1.6667302206550083,1.6667302206550083,0.0
2025-03-01,1003,11280.402405270135,11284.189001345525,-3.7865960753897525
2025-03-01,1004,1754.3513075988906,0.0,1754.3513075988906
2025-04-01,0,1.2868100033365855e-07,1.8455835344642615,-1.8455834057832612
2025-04-01,1,1.6628306587458953e-05,1.6628306587458953e-05,0.0
2025-04-01,99,100.92807267272491,2839.978632813381,-2739.050560140656
2025-04-01,128,0.9473020293416866,0.9473020293416866,0.0
2025-04-01,1003,12906.338916134684,13011.191717725404,-104.85280159071954
2025-04-01,1004,2845.7489451371584,0.0,2845.7489451371584
2025-05-01,0,10.884994551610788,12.398840737594792,-1.5138461859840042
2025-05-01,1,605.7551163463952,605.7551163463952,0.0
2025-05-01,99,1579.9947444916236,3596.606086758446,-2016.6113422668225
2025-05-01,128,2.9431073033136963,2.9431073033136963,0.0
2025-05-01,1003,17840.35278226739,17909.33769952945,-68.98491726205975
2025-05-01,1004,2087.110105714866,0.0,2087.110105714866
2025-06-01,1,21.20205307407596,21.20205307407596,0.0
2025-06-01,99,1610.4904393560937,2806.246169193961,-1195.7557298378674
2025-06-01,128,1.2560560680275188,1.2560560680275188,0.0
2025-06-01,1003,10107.540312914241,10921.310538737147,-813.7702258229056
2025-06-01,1004,2009.5259558683733,0.0,2009.5259558683733
2025-07-01,1,10.101255056817019,10.1018007841589,-0.00054572734188163
2025-07-01,99,111.91983382279355,968.9435893162456,-857.0237554934521
2025-07-01,128,15.285234371066522,15.285521219312088,-0.00028684824556535204
2025-07-01,1003,8373.776896131405,11077.649258723728,-2703.872362592323
2025-07-01,1004,3560.8969508766745,0.0,3560.8969508766745
2025-08-01,1,1.1267271805165593,1.127167769137997,-0.00044058862143780964
2025-08-01,99,4.664116414835107,305.77276686139635,-301.1086504465612
2025-08-01,128,130.21439322652748,145.53988677794055,-15.325493551413075
2025-08-01,1003,9180.107628776103,10825.045673981629,-1644.9380452055266
2025-08-01,1004,1961.3726300082585,0.0,1961.3726300082585
2025-09-01,1,1.4050652076121395,1.4174192665175376,-0.012354058905398091
2025-09-01,99,20.02330303286225,311.5077776018824,-291.48447456902016
2025-09-01,128,19.820044514609414,47.06605704788118,-27.246012533271767
2025-09-01,1003,7739.395000072051,9828.257622133293,-2088.8626220612423
2025-09-01,1004,2407.6054634324178,0.0,2407.6054634324178
2025-10-01,1,64.55273411748547,64.55369083834269,-0.0009567208572178743
2025-10-01,99,0.19621172149528,248.8775109848062,-248.68129926331093
2025-10-01,128,35.99438621108991,41.1389905132296,-5.14460430213969
2025-10-01,1003,7775.519023606006,8513.35340397299,-737.8343803669832
2025-10-01,1004,991.6612408711081,0.0,991.6612408711081
2025-11-01,1,6.547999160347224,6.595984064491542,-0.04798490414431811
2025-11-01,99,24.842204516290614,276.7004133932214,-251.8582088769308
2025-11-01,128,2.9074154372247416,142.64368317809308,-139.73626774086836
2025-11-01,1003,5229.0994737272495,6377.834672393517,-1148.735198666268
2025-11-01,1004,1540.3776603997915,0.0,1540.3776603997915
2025-12-01,1,7.201094056502499,7.81298594267855,-0.6118918861760507
2025-12-01,99,0.0036377644146494475,884.3442228220754,-884.3405850576607
2025-12-01,128,176.17195703812243,191.14154344232736,-14.969586404204932
2025-12-01,1003,5324.605777819538,7585.151312375226,-2260.5455345556875
2025-12-01,1004,3160.4675981231394,0.0,3160.4675981231394
2026-01-01,1,2.3555393492100656,11.632205997748757,-9.276666648538692
2026-01-01,128,0.0033588581139101055,37.101568117940445,-37.09820925982653
2026-01-01,1003,3083.6614661741423,6174.056667523615,-3090.3952013494727
2026-01-01,1004,3343.442120114896,0.0,3343.442120114896
2026-02-01,1,0.017382470342710555,273.1645139029893,-273.1471314326466
2026-02-01,99,0.022550448026508345,181.89584611063262,-181.8732956626061
2026-02-01,128,0.01486395930935945,63.94263246358965,-63.927768504280294
2026-02-01,1003,1421.7433657925026,2001.4746254956965,-579.7312597031939
2026-02-01,1004,1098.6794554690377,0.0,1098.6794554690377
2026-03-01,1,0.1239466460136683,437.21890039978763,-437.09495375377395
2026-03-01,99,6.211245654878743e-05,271.8118607879278,-271.81179867547127
2026-03-01,128,0.09233110991137822,18.157025137651758,-18.06469402774038
2026-03-01,1003,1539.2433963178514,2014.0652588990044,-474.821862581153
2026-03-01,1004,1201.7933092228434,0.0,1201.7933092228434
2026-04-01,1,12.743369923467746,524.0699716976138,-511.32660177414607
2026-04-01,99,8.66163753163395e-05,331.43258683047907,-331.43250021410375
2026-04-01,128,1.8907548841639226,5.5757003866558605,-3.6849455024919378
2026-04-01,1003,1030.1223246072957,1930.4864075741405,-900.3640829668448
2026-04-01,1004,1746.8081306368842,0.0,1746.8081306368842
2026-05-01,1,0.5834617158082644,415.69826679906134,-415.1148050832531
2026-05-01,128,19.69798859595836,22.19952111660345,-2.501532520645089
2026-05-01,1003,1438.8320782908202,2811.406164985374,-1372.5740866945537
2026-05-01,1004,2744.467536190415,0.0,2744.467536190415
2026-05-01,2001,21.560409178674462,21.560409178674462,0.0
2026-05-01,4011,76.31792642251276,0.0,76.31792642251276
