month,ref_code,with_1003,baseline,delta
2024-09-01,0,40.2479971845869,42.46738211766835,-2.21938493308145
2024-09-01,99,135.6629745109085,257.3043023636362,-121.64132785272773
2024-09-01,1003,123.8607127858092,0.0,123.8607127858092
2024-10-01,0,544.8545049976345,580.621492790185,-35.76698779255048
2024-10-01,99,1830.438314509046,4098.186786195973,-2267.7484716869267
2024-10-01,128,0.004713675801046105,0.004713675801046105,0.0
2024-10-01,1001,103.16124719240835,103.16141617267255,-0.00016898026419198686
2024-10-01,1003,2303.515628459741,0.0,2303.515628459741
2024-11-01,0,274.8897457095753,1194.3442828689522,-919.4545371593769
2024-11-01,99,2029.5868521969169,6671.979850647225,-4642.392998450308
2024-11-01,128,2.5645403848878043,2.5645403848878043,0.0
2024-11-01,1001,3395.8451440404606,3395.8451440404606,0.0
2024-11-01,1003,5561.847535609686,0.0,5561.847535609686
2024-12-01,0,103.46131666916254,225.43120058616216,-121.96988391699962
2024-12-01,99,2875.326652309024,12709.136020154985,-9833.80936784596
2024-12-01,128,242.3651810351767,849.1955714658588,-606.8303904306822
2024-12-01,1001,5853.829191748832,5853.829191748832,0.0
2024-12-01,1002,0.0005221617777169132,39.2520965714246,-39.251574409646885
2024-12-01,1003,10601.861216603289,0.0,10601.861216603289
2025-01-01,0,1887.1405582234345,3780.2320250877756,-1893.091466864341
2025-01-01,1,451.0499290299446,619.0394951025747,-167.9895660726301
2025-01-01,99,3898.6423228069298,20240.059291463724,-16341.416968656795
2025-01-01,128,657.2725460102567,1939.5463966479333,-1282.2738506376766
2025-01-01,1001,7129.572688205293,7129.572688205293,0.0
2025-01-01,1002,1297.5441840732399,1297.5441840732399,0.0
2025-01-01,1003,19684.771852231443,0.0,19684.771852231443
2025-02-01,0,151.04591769189588,2687.5997664601387,-2536.553848768243
2025-02-01,1,1072.044515259349,1444.884835462285,-372.840320202936
2025-02-01,99,6212.139441627342,35234.667054508725,-29022.527612881382
2025-02-01,128,360.53361167383326,1560.0303312876931,-1199.4967196138598
2025-02-01,1001,4992.115283807355,5741.344440014769,-749.2291562074142
2025-02-01,1002,12.990498371486876,1932.149269940644,-1919.1587715691571
2025-02-01,1003,35799.80642924299,0.0,35799.80642924299
2025-03-01,0,1.292358513164521,2867.0388365671083,-2865.746478053944
2025-03-01,1,4755.053745376792,5447.323246256498,-692.2695008797064
2025-03-01,99,6158.119068586794,41977.76822354667,-35819.64915495988
2025-03-01,128,294.36979054519963,1693.9602371224298,-1399.59044657723
2025-03-01,1001,1.629931183143962,2075.264448979496,-2073.634517796352
2025-03-01,1002,260.69889901982083,3078.8362445702037,-2818.1373455503826
2025-03-01,1003,45669.0274438175,0.0,45669.0274438175
2025-04-01,0,22.973352963389857,2753.44771424278,-2730.47436127939
2025-04-01,1,7522.029775141554,8199.264680302287,-677.2349051607334
2025-04-01,99,7073.872333045657,44479.30571603613,-37405.43338299047
2025-04-01,128,1957.8028814320692,3537.739006572405,-1579.9361251403357
2025-04-01,1001,1.6571873184206958,8.689766954186148,-7.032579635765452
2025-04-01,1003,46453.83117720938,0.0,46453.83117720938
2025-05-01,0,10.884994551610788,3498.060975270081,-3487.1759807184703
2025-05-01,1,4782.388331621537,6632.036810174581,-1849.6484785530438
2025-05-01,99,14950.704282514555,63890.78414250813,-48940.07985999357
2025-05-01,128,2973.445828413702,7531.046704487582,-4557.6008760738805
2025-05-01,1001,2.147878575102201e-06,8.131282722388228,-8.131280574509653
2025-05-01,1003,59900.487861987414,0.0,59900.487861987414
2025-06-01,0,0.012168838114599156,930.8447368851614,-930.8325680470468
2025-06-01,1,743.991114960696,4541.432192881615,-3797.4410779209193
2025-06-01,99,15975.953126399352,49086.96968025723,-33111.01655385787
2025-06-01,128,975.1595991159912,6685.512799710749,-5710.353200594758
2025-06-01,1001,2.0862519154579517e-06,5.912122977330549,-5.912120891078634
2025-06-01,1003,43940.46198918728,0.0,43940.46198918728
2025-07-01,0,0.0011495443069992858,1071.738063409635,-1071.736913865328
2025-07-01,1,1177.5847605524289,5138.128137795645,-3960.543377243216
2025-07-01,99,14630.254477778275,47086.658528175234,-32456.40405039696
2025-07-01,128,2865.2711969462352,6330.789637091236,-3465.5184401450006
2025-07-01,1001,2.1637374215531437e-06,4.933710602935968,-4.933708439198547
2025-07-01,1003,40959.14758449653,0.0,40959.14758449653
2025-08-01,0,0.002979663150341757,1223.295967137614,-1223.2929874744636
2025-08-01,1,2975.16792421918,6499.713713799867,-3524.545789580687
2025-08-01,99,13951.219780423784,42538.11210623317,-28586.89232580939
2025-08-01,128,8011.619156513237,9735.653363418447,-1724.0342069052103
2025-08-01,1001,2.172021216211889e-06,4.952599145109936,-4.95259697308872
2025-08-01,1003,35063.71790674284,0.0,35063.71790674284
2025-09-01,0,0.01191111051165138,1204.0409784993585,-1204.029067388847
2025-09-01,1,2859.4913842306814,4765.094722152085,-1905.6033379214032
2025-09-01,99,14080.890907223902,43408.6712401743,-29327.780332950395
2025-09-01,128,4941.614439457959,15951.751761437436,-11010.137321979477
2025-09-01,1001,2.1101203514233066e-06,4.811454036698806,-4.811451926578455
2025-09-01,1003,43452.36151216671,0.0,43452.36151216671
2025-10-01,0,0.014463028828315964,1179.092464056228,-1179.0780010273998
2025-10-01,1,1838.1998368345817,3691.6564575852567,-1853.456620750675
2025-10-01,99,14449.905061929256,42163.994818279956,-27714.089756350702
2025-10-01,128,5213.87188921682,14184.48398601968,-8970.61209680286
2025-10-01,1001,2.18892419055568e-06,4.991140967657542,-4.991138778733352
2025-10-01,1003,39722.22761371037,0.0,39722.22761371037
2025-11-01,0,0.0023413425086198404,1002.6986788492659,-1002.6963375067572
2025-11-01,1,1194.6540255444263,7337.152581701503,-6142.498556157077
2025-11-01,99,14064.368573105094,47987.42747773524,-33923.05890463015
2025-11-01,128,1972.829210265829,18075.911213096275,-16103.082002830446
2025-11-01,1001,2.126233270574134e-06,4.84819439126624,-4.84819226503297
2025-11-01,1003,57176.18399338946,0.0,57176.18399338946
2025-12-01,0,0.0024279903514238823,1112.9900269555865,-1112.987598965235
2025-12-01,1,6507.358599967264,7480.573384957532,-973.2147849902676
2025-12-01,99,1957.8456141414597,72946.16098824829,-70988.31537410682
2025-12-01,128,2482.0568141363024,19542.538796324607,-17060.481982188303
2025-12-01,1001,2.204920402215558e-06,5.0276152081485606,-5.027613003228159
2025-12-01,1003,90140.02735325387,0.0,90140.02735325387
2026-01-01,0,0.0005100101955116375,811.0952222043456,-811.0947121941501
2026-01-01,1,6710.50011759162,7463.275019006238,-752.7749014146175
2026-01-01,99,894.5699808049309,60891.78808695872,-59997.218106153785
2026-01-01,128,1770.6631174907054,15830.044100885994,-14059.38098339529
2026-01-01,1001,1.8445252267382706e-06,4.205849368732176,-4.205847524206949
2026-01-01,1003,75624.67455068204,0.0,75624.67455068204
2026-02-01,1,6181.18687924846,9407.737363893764,-3226.550484645304
2026-02-01,99,636.4145758639315,47899.81192679928,-47263.39735093535
2026-02-01,128,851.8619288025126,13894.357569025155,-13042.495640222642
2026-02-01,1001,1.6713120227631282e-06,3.810892100577501,-3.8108904292654784
2026-02-01,1003,63855.72776174567,0.0,63855.72776174567
2026-03-01,0,280.1635357616542,583.3227886537566,-303.15925289210236
2026-03-01,1,7372.3583258630315,10858.78321870214,-3486.424892839108
2026-03-01,99,843.790891906108,48618.52499461367,-47774.73410270756
2026-03-01,128,1635.3251770764145,9062.03892421653,-7426.713747140115
2026-03-01,1001,1.8561534334552064e-06,4.232363772097856,-4.232361915944423
2026-03-01,1002,67.5403933875156,67.5403933875156,0.0
2026-03-01,1003,58995.26435749483,0.0,58995.26435749483
2026-04-01,0,3704.321828448738,4151.91716047638,-447.5953320276417
2026-04-01,1,5984.075877064615,8436.272170059998,-2452.1962929953825
2026-04-01,99,504.0239700725586,36727.478876750756,-36223.4549066782
2026-04-01,128,8680.750422466079,10830.87518947459,-2150.1247670085104
2026-04-01,1001,1.8018178103858517e-06,4.108468775882475,-4.108466974064664
2026-04-01,1002,1.6917141736259205,10.563801930313158,-8.872087756687238
2026-04-01,1003,41286.35185344049,0.0,41286.35185344049
2026-04-01,2001,27.065649073640976,27.065649073640976,0.0
2026-05-01,0,10892.902818138053,11533.428483106873,-640.5256649688199
2026-05-01,1,4357.501795681205,5420.1113661257505,-1062.6095704445452
2026-05-01,99,241.0520939839826,36581.136786552284,-36340.0846925683
2026-05-01,128,978.4011154061227,3873.6526150543427,-2895.25149964822
2026-05-01,1001,1.8674996805721492e-06,4.258235256847707,-4.258233389348026
2026-05-01,1003,40942.73132516407,0.0,40942.73132516407
2026-05-01,2001,1720.7586943126244,1720.7586943126244,0.0
2026-06-01,0,3973.5147576642707,4355.1714865309,-381.6567288666297
2026-06-01,1,3187.064555363069,5086.028812190272,-1898.9642568272034
2026-06-01,99,84.24978740832742,23162.843896270064,-23078.594108861736
2026-06-01,128,1073.4424850438209,3597.1319157664034,-2523.6894307225825
2026-06-01,1001,1.8126315306198338e-06,4.133126003531329,-4.133124190899799
2026-06-01,1003,27887.037649469054,0.0,27887.037649469054
2026-06-01,2001,3351.417898008253,3351.417898008253,0.0
2025-04-01,1002,0.0,4053.7198230026843,-4053.7198230026843
2025-05-01,1002,0.0,1057.8513860739336,-1057.8513860739336
2025-06-01,1002,0.0,384.9064678755962,-384.9064678755962
2025-07-01,1002,0.0,0.011094406836342366,-0.011094406836342366
2026-02-01,0,0.0,319.47339551310836,-319.47339551310836
2026-05-01,1002,0.0,0.0016641448380892555,-0.0016641448380892555
