month,blockchain,token,ref_code,source,dr_usd_old,dr_usd_new,delta
2026-06-01,arbitrum,sUSDC,127,susds_susdc,813.4838921304018,813.4838885323056,-3.598096213863755e-06
2026-06-01,arbitrum,sUSDC,3006,susds_susdc,0.0,3.598096163206744e-06,3.598096163206744e-06
2026-07-01,arbitrum,sUSDC,127,susds_susdc,445.1040958211133,445.1040539461357,-4.187497756902303e-05
2026-07-01,arbitrum,sUSDC,3006,susds_susdc,0.0,4.187497752877648e-05,4.187497752877648e-05
2026-07-01,base,sUSDC,127,susds_susdc,114.72039270286707,114.7203360786351,-5.662423197350108e-05
2026-07-01,base,sUSDC,3006,susds_susdc,0.0,5.662423198558506e-05,5.662423198558506e-05
2026-07-01,ethereum,sUSDS,99,susds_susdc,449121.5936035068,449120.82239381823,-0.7712096885661595
2026-07-01,ethereum,sUSDS,3006,susds_susdc,0.0,0.7711922221718281,0.7711922221718281
2026-07-01,ethereum,sUSDS,3900,susds_susdc,0.0,1.7466381623862738e-05,1.7466381623862738e-05
2026-07-01,optimism,sUSDC,127,susds_susdc,14.578630983270845,14.578584820438206,-4.616283263914056e-05
2026-07-01,optimism,sUSDC,3006,susds_susdc,0.0,4.616283263743061e-05,4.616283263743061e-05
2026-08-01,arbitrum,sUSDC,127,susds_susdc,222.04062021116272,222.040605414694,-1.4796468718714095e-05
2026-08-01,arbitrum,sUSDC,3006,susds_susdc,0.0,1.4796468778571866e-05,1.4796468778571866e-05
2026-08-01,base,sUSDC,127,susds_susdc,79.80358570562692,79.80357384412554,-1.1861501377552486e-05
2026-08-01,base,sUSDC,128,susds_susdc,1096.6816806725692,1096.6816739969968,-6.675572421954712e-06
2026-08-01,base,sUSDC,1017,susds_susdc,0.5283523225971484,0.5283492517893948,-3.0708077535246403e-06
2026-08-01,base,sUSDC,3006,susds_susdc,0.0,2.160788164680404e-05,2.160788164680404e-05
2026-08-01,ethereum,sUSDS,0,susds_susdc,1588.6311443123773,1588.6311307976234,-1.3514753845811356e-05
2026-08-01,ethereum,sUSDS,99,susds_susdc,254776.88336746168,254776.2260800762,-0.657287385489326
2026-08-01,ethereum,sUSDS,3006,susds_susdc,0.0,0.6567796644990028,0.6567796644990028
2026-08-01,ethereum,sUSDS,3900,susds_susdc,0.0,0.0005212357394418,0.0005212357394418
2026-08-01,optimism,sUSDC,127,susds_susdc,10.947224568213578,10.947215897930985,-8.670282593215006e-06
2026-08-01,optimism,sUSDC,3006,susds_susdc,0.0,8.670282594722923e-06,8.670282594722923e-06
