month,blockchain,token,ref_code,with_1020,baseline,delta
2024-09-01,ethereum,sUSDS,0,14.072851705061044,14.072851705061044,0.0
2024-09-01,ethereum,sUSDS,99,101.98543440845555,101.98543440845555,0.0
2024-10-01,ethereum,sUSDS,0,94.49910490712234,94.49910490712234,0.0
2024-10-01,ethereum,sUSDS,99,541.1796901377724,541.1796901377724,0.0
2024-11-01,ethereum,sUSDS,0,48.99776861807504,48.99776861807504,0.0
2024-11-01,ethereum,sUSDS,99,260.3253958814042,260.3253958814042,0.0
2024-11-01,ethereum,sUSDS,1002,3.3840946255529785,3.3840946255529785,0.0
2024-11-01,ethereum,sUSDS,1004,0.0003458581089534448,0.0003458581089534448,0.0
2024-12-01,ethereum,sUSDS,0,159.60873217631973,159.60873217631973,0.0
2024-12-01,ethereum,sUSDS,99,1433.834996447538,1433.8365887188531,-0.0015922713150757772
2024-12-01,ethereum,sUSDS,128,48.70130928540488,48.70130928540488,0.0
2024-12-01,ethereum,sUSDS,1002,49.77698483867101,49.77698483867101,0.0
2024-12-01,ethereum,sUSDS,1003,2283.885870079853,2283.885870079853,0.0
2024-12-01,ethereum,sUSDS,1004,0.02293239202359324,0.02293239202359324,0.0
2024-12-01,ethereum,sUSDS,1020,0.0015922713149996177,0.0,0.0015922713149996177
2025-01-01,ethereum,sUSDS,0,203.7664796607303,1602.344591550076,-1398.5781118893458
2025-01-01,ethereum,sUSDS,1,5.4419612799461845,5.441964367651833,-3.087705648496808e-06
2025-01-01,ethereum,sUSDS,99,97.14661383030543,31132.04144962283,-31034.894835792526
2025-01-01,ethereum,sUSDS,128,380.4278013208444,380.4278013208444,0.0
2025-01-01,ethereum,sUSDS,1002,1347.8184103371686,1347.8184103371686,0.0
2025-01-01,ethereum,sUSDS,1003,3304.3384761236543,4192.720552255239,-888.3820761315851
2025-01-01,ethereum,sUSDS,1004,0.6278797233463213,0.6278797233463213,0.0
2025-01-01,ethereum,sUSDS,1020,33321.85502690116,0.0,33321.85502690116
2025-02-01,ethereum,sUSDS,0,185.69287958783457,185.69287958783457,0.0
2025-02-01,ethereum,sUSDS,1,0.06291896161346361,0.06428691041742565,-0.0013679488039620435
2025-02-01,ethereum,sUSDS,99,373.1913285481607,9091.842305072474,-8718.650976524314
2025-02-01,ethereum,sUSDS,128,56.684586694108376,56.9139591728628,-0.2293724787544278
2025-02-01,ethereum,sUSDS,1002,58.80559355019385,58.80559355019385,0.0
2025-02-01,ethereum,sUSDS,1003,5885.589548479239,7462.353206297982,-1576.763657818743
2025-02-01,ethereum,sUSDS,1004,120.53602704513895,120.86294086319343,-0.3269138180544786
2025-02-01,ethereum,sUSDS,1020,10295.97228858867,0.0,10295.97228858867
2025-03-01,ethereum,sUSDS,0,169.26230485971658,207.68785612495998,-38.4255512652434
2025-03-01,ethereum,sUSDS,1,10.406892889722137,10.406892889722137,0.0
2025-03-01,ethereum,sUSDS,99,961.849701862194,1982.6753719310323,-1020.8256700688382
2025-03-01,ethereum,sUSDS,128,179.48086069461124,179.89539790876586,-0.4145372141546204
2025-03-01,ethereum,sUSDS,1002,294.2681584587689,294.2681584587689,0.0
2025-03-01,ethereum,sUSDS,1003,12368.919526741549,13356.462877831185,-987.5433510896364
2025-03-01,ethereum,sUSDS,1004,1.7048897119564856,3.827135792092782,-2.1222460801362963
2025-03-01,ethereum,sUSDS,1020,2049.3313557180086,0.0,2049.3313557180086
2025-04-01,ethereum,sUSDS,0,0.0,205.85470785388216,-205.85470785388216
2025-04-01,ethereum,sUSDS,1,15.252003255959028,25.4367943389138,-10.18479108295477
2025-04-01,ethereum,sUSDS,99,696.9965575339202,1289.6025647242877,-592.6060071903676
2025-04-01,ethereum,sUSDS,128,19.922925134023007,76.22988034474378,-56.30695521072077
2025-04-01,ethereum,sUSDS,1002,25.101907403748523,25.101907403748523,0.0
2025-04-01,ethereum,sUSDS,1003,17075.04249762564,18202.807494718243,-1127.7649970926032
2025-04-01,ethereum,sUSDS,1004,74.847454705817,105.5817267211084,-30.734272015291396
2025-04-01,ethereum,sUSDS,1020,2023.451730445819,0.0,2023.451730445819
2025-05-01,ethereum,sUSDS,0,7.944792563508536,158.09811640365433,-150.1533238401458
2025-05-01,ethereum,sUSDS,1,331.75107420349445,375.1378952497249,-43.386821046230466
2025-05-01,ethereum,sUSDS,99,0.1418982348676597,146.41046430476283,-146.26856606989517
2025-05-01,ethereum,sUSDS,128,0.029679134969093524,155.35341633043654,-155.32373719546746
2025-05-01,ethereum,sUSDS,1002,36.646829346496084,36.646829346496084,0.0
2025-05-01,ethereum,sUSDS,1003,37953.991033496066,38585.128953983,-631.1379204869372
2025-05-01,ethereum,sUSDS,1004,127.22019307416484,127.27679300157496,-0.05659992741011877
2025-05-01,ethereum,sUSDS,1020,1126.3269685660896,0.0,1126.3269685660896
2025-06-01,ethereum,sUSDS,1,481.6681519056051,523.8101237854739,-42.141971879868834
2025-06-01,ethereum,sUSDS,99,0.007357272374913496,192.39116329452347,-192.38380602214855
2025-06-01,ethereum,sUSDS,128,11.811650245849062,12.806409184783801,-0.9947589389347389
2025-06-01,ethereum,sUSDS,1002,35.39746857580962,35.39746857580962,0.0
2025-06-01,ethereum,sUSDS,1003,25547.630408427,31686.40035222597,-6138.769943798969
2025-06-01,ethereum,sUSDS,1004,1031.3304071592431,1107.3081448544729,-75.97773769522973
2025-06-01,ethereum,sUSDS,1020,6450.268218335151,0.0,6450.268218335151
2025-07-01,ethereum,sUSDS,1,548.7965954015925,568.5383298836722,-19.741734482079664
2025-07-01,ethereum,sUSDS,99,1.1350202752575347,177.41216746485634,-176.2771471895988
2025-07-01,ethereum,sUSDS,128,17.74518580554014,18.225657906001942,-0.4804721004618031
2025-07-01,ethereum,sUSDS,1002,22.385280584125553,22.385280584125553,0.0
2025-07-01,ethereum,sUSDS,1003,18525.031389554664,26315.797463923835,-7790.76607436917
2025-07-01,ethereum,sUSDS,1004,3709.6907864083823,4093.896968276435,-384.2061818680527
2025-07-01,ethereum,sUSDS,1020,8371.471610009361,0.0,8371.471610009361
2025-08-01,ethereum,sUSDS,1,179.14405702802816,473.9642444283595,-294.82018740033135
2025-08-01,ethereum,sUSDS,99,0.0033189433108026726,87.75711450515409,-87.75379556184329
2025-08-01,ethereum,sUSDS,128,231.14316495804425,231.14316953704892,-4.579004666993569e-06
2025-08-01,ethereum,sUSDS,1002,18.327112840789017,18.327112840789017,0.0
2025-08-01,ethereum,sUSDS,1003,17343.935059384992,24319.3871077331,-6975.4520483481065
2025-08-01,ethereum,sUSDS,1004,1916.5104409108542,2447.369472083199,-530.8590311723449
2025-08-01,ethereum,sUSDS,1020,7888.885067061629,0.0,7888.885067061629
2025-09-01,ethereum,sUSDS,1,2.5101503250722375,290.1328905391616,-287.6227402140894
2025-09-01,ethereum,sUSDS,99,0.8136180501073664,108.38702391360856,-107.5734058635012
2025-09-01,ethereum,sUSDS,128,96.40169383550469,198.2559863065467,-101.85429247104202
2025-09-01,ethereum,sUSDS,1002,0.0,3.985887527320735,-3.985887527320735
2025-09-01,ethereum,sUSDS,1003,22146.820830124336,27750.811915812923,-5603.991085688587
2025-09-01,ethereum,sUSDS,1004,2225.1517001507254,2671.0693227097186,-445.9176225589931
2025-09-01,ethereum,sUSDS,1020,6550.945034323534,0.0,6550.945034323534
2025-10-01,ethereum,sUSDS,1,2.0120518072773654,202.22059111676498,-200.2085393094876
2025-10-01,ethereum,sUSDS,99,0.21949677383479807,259.90570559306536,-259.68620881923056
2025-10-01,ethereum,sUSDS,128,894.861245624787,933.8165876958981,-38.95534207111109
2025-10-01,ethereum,sUSDS,1002,0.0,10.534725786448398,-10.534725786448398
2025-10-01,ethereum,sUSDS,1003,23537.956111839903,28201.7812005759,-4663.825088735997
2025-10-01,ethereum,sUSDS,1004,987.2968857646279,1372.0842481572874,-384.7873623926596
2025-10-01,ethereum,sUSDS,1020,5557.997267114935,0.0,5557.997267114935
2025-11-01,ethereum,sUSDS,1,5.381579728814288,95.3032816243504,-89.92170189553612
2025-11-01,ethereum,sUSDS,99,0.8957802922075132,338.16217407968054,-337.266393787473
2025-11-01,ethereum,sUSDS,128,39.14916937726345,39.14917385973902,-4.482475574718592e-06
2025-11-01,ethereum,sUSDS,1002,0.0,10.233010608665968,-10.233010608665968
2025-11-01,ethereum,sUSDS,1003,8244.594162941876,10682.665173099738,-2438.0710101578625
2025-11-01,ethereum,sUSDS,1004,1559.4568044579212,1795.3253379837815,-235.86853352586036
2025-11-01,ethereum,sUSDS,1020,3111.3606544578734,0.0,3111.3606544578734
2025-12-01,ethereum,sUSDS,1,64.7285013100838,157.9749585244576,-93.2464572143738
2025-12-01,ethereum,sUSDS,99,80.97317654370264,1122.4526512437242,-1041.4794747000215
2025-12-01,ethereum,sUSDS,128,164.27433380094172,164.27433844930366,-4.6483619371429086e-06
2025-12-01,ethereum,sUSDS,1002,0.0,10.611711414450443,-10.611711414450443
2025-12-01,ethereum,sUSDS,1003,9354.622068597633,14741.774057136847,-5387.151988539214
2025-12-01,ethereum,sUSDS,1004,1956.5135965758252,2758.903753751712,-802.3901571758868
2025-12-01,ethereum,sUSDS,1020,7334.879793692308,0.0,7334.879793692308
2026-01-01,ethereum,sUSDS,1,5.658937287268204,83.55826799280113,-77.89933070553293
2026-01-01,ethereum,sUSDS,99,94.32830751688648,1206.6851187562067,-1112.3568112393202
2026-01-01,ethereum,sUSDS,128,118.28655339555311,118.64734601342948,-0.3607926178763705
2026-01-01,ethereum,sUSDS,1002,0.0,8.877222680307323,-8.877222680307323
2026-01-01,ethereum,sUSDS,1003,2954.167047437639,5333.527728650476,-2379.360681212837
2026-01-01,ethereum,sUSDS,1004,1194.1883417994825,1444.650012053126,-250.46167025364343
2026-01-01,ethereum,sUSDS,1020,3829.316508709516,0.0,3829.316508709516
2026-02-01,ethereum,sUSDS,1,10.396659678753537,69.8715809663924,-59.474921287638864
2026-02-01,ethereum,sUSDS,99,11.150175855164147,636.4614634464625,-625.3112875912984
2026-02-01,ethereum,sUSDS,128,2.2150734213970042,2.2994609656130134,-0.08438754421600914
2026-02-01,ethereum,sUSDS,1002,0.0,6.451068447472798,-6.451068447472798
2026-02-01,ethereum,sUSDS,1003,2787.2404199960893,4757.526291363126,-1970.2858713670366
2026-02-01,ethereum,sUSDS,1004,406.11391121417205,1200.448455583284,-794.3345443691119
2026-02-01,ethereum,sUSDS,1020,3455.9420806067737,0.0,3455.9420806067737
2026-03-01,ethereum,sUSDS,0,213.14566331381653,213.14566331381653,0.0
2026-03-01,ethereum,sUSDS,1,155.59899002770428,331.72884770033585,-176.12985767263157
2026-03-01,ethereum,sUSDS,99,1.4131275245318538,297.99978696167227,-296.58665943714044
2026-03-01,ethereum,sUSDS,128,0.018823425644126476,0.31995902258818937,-0.3011355969440629
2026-03-01,ethereum,sUSDS,1002,37.6537222542437,67.5403933875156,-29.88667113327191
2026-03-01,ethereum,sUSDS,1003,6747.331986891076,11880.739773089437,-5133.4077861983615
2026-03-01,ethereum,sUSDS,1004,318.0349525675154,807.0938225160317,-489.05886994851625
2026-03-01,ethereum,sUSDS,1020,6125.370979986864,0.0,6125.370979986864
2026-04-01,ethereum,sUSDS,0,3353.372889553861,3353.372889553861,0.0
2026-04-01,ethereum,sUSDS,1,25.12895544197457,150.5547152945991,-125.42575985262454
2026-04-01,ethereum,sUSDS,99,2.818382725079054,331.62689626393643,-328.80851353885737
2026-04-01,ethereum,sUSDS,128,2.662458568336524e-05,10.320218407955347,-10.320191783369664
