ref_code,token,blockchain,source,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,total_dr_usd
-999999,spETH,ethereum,sp,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
-999999,spPYUSD,ethereum,sp,,,,,,,,,,,,,,,,0.0002444250492847476,0.0016116261862600372,0.00007191714557515476,0.0069195421252403605,0.0066376206045393165,0.000015028619443895448,0,0.015500159730343513
-999999,spUSDC,avalanche_c,sp,,,,,,,,,,,,,,0,0,1207.044603831041,932.8561348561764,791.6454659002068,777.7577267362939,21.66213462411274,1.7648901040275335,2.984560442054527,3735.715516493912
-999999,spUSDC,ethereum,sp,,,,,,,,,,,,,,0.00021202415400666357,0.3292901557550843,337.8406428273792,1601.0254115365997,9.52777531252026,3536.735780258598,4652.668383039988,3909.909696519293,977.0546415037181,15025.091833178005
-999999,spUSDT,ethereum,sp,,,,,,,,,,,,,,0.0006937235737160244,11.550526473991464,297.3634111965299,266.95887190920115,252.94021690724003,6156.842753778604,4681.102017765319,3996.2742714489345,1052.6919943475536,16715.724757550946
-999999,stUSDS,ethereum,stusds,,,,,,,,,,,,,,18189.70775590551,38392.691127747945,34483.229903360334,2567.498843936495,2940.973591114514,8379.94323509293,3403.747757722059,3088.483446600104,295.75127734041973,111742.0269388203
-999999,USDS-CLE,ethereum,farms,1723.6920202524464,9340.458411692249,8895.985037401835,6963.367239195586,6361.5054967709775,4467.28289007443,4218.210859257115,3861.685888545295,3898.7624365131383,3475.118244884933,3432.990434304532,3003.4071595807663,993.1211996278436,1837.3868721759745,2071.6401138393558,3043.555905946383,3577.671967725463,2132.665476014649,1631.1025462245539,1235.529987281137,893.9614049883403,75.65020572114922,77134.75179801816
-999999,USDS-SKY,ethereum,farms,75116.03443617138,181366.6355993637,148973.66017993915,109451.23108192331,84897.86629267626,27842.189682601907,25897.554620375224,24371.989009874073,23359.284325510216,17346.651770641405,14825.209311820323,13868.566646110778,11976.462017914973,11049.742973151673,9515.9477855527,9891.875621975152,8027.601556603575,4570.906514113384,4471.409977448357,3634.3821006577014,3717.3555294356265,358.6098873355713,814531.1669211966
-999999,USDS-SPK,ethereum,farms,,,,,,,,,,182.2250906234949,25651.738095080127,25559.71265035364,13171.135908265445,4351.436152677302,1463.1243687486553,643.1814057557207,445.268378188312,208.5922308892758,351.4855199287977,397.73319432184815,172.48471755420894,12.756229984712565,72610.87394237155
0,spUSDC,ethereum,sp,,,,,,,,,,,,,,,,,,,,4.772900470832357e-7,0.000014911404290346503,0.001138657518603277,0.0011540462129407067
0,stUSDS,ethereum,stusds,,,,,,,,,,,,,,36.67546250137465,64.43892638482573,55.30583890452396,0.0048703328296245,0.004434183849103175,0.004937199097313404,0.004801662105313361,0.004991336380264062,0.000484361082841071,156.4447468660688
0,sUSDC,arbitrum,susds_susdc,,,,,,,,,,,0.0010372805599828737,0.0033646596929585867,0.000015377694592366014,0.0014016901044888715,0.00001549511896085086,0.000016068558612250338,0.000005384884161617967,0.000004879207673626405,0.000005418831404664772,0.0006678269005719835,0.0011049310060397743,0.000010416007963560434,0.007649428567411026
0,sUSDC,base,susds_susdc,,,,,,,,,,,0.05031571988001565,0.03350346775567113,0.03139302729884496,0.035588846868033784,0.033168166354223275,0.06186643074019218,0.021832284222665033,0.018631793978207908,0.026509380501662766,0.043993502303123364,0.0524304873387198,0.00503685038135922,0.41426995762271906
0,sUSDC,ethereum,susds_susdc,,,,,,,,,,4629.502004343692,9198.895575801711,15869.134978256468,6073.459399367594,3854.21733175885,2227.2997456141925,44.67297535902085,14.279734977170708,12.749411383927425,13.900733478528975,11.893124646931792,9.451086478718103,0.679819818085981,41960.135921284884
0,sUSDC,optimism,susds_susdc,,,,,,,,,,,,,,,,,,,,0.00008481398224521727,0.0001617773006000656,0.000008720455115148755,0.0002553117379604316
0,sUSDC,unichain,susds_susdc,,,,,,,,,,0.08533575751636206,,,3.240856080934915e-15,2.5062209711812557e-11,2.898571145718207e-10,3.791715092074813e-10,8.611267392704723e-11,8.0890951766009e-10,1.2915977265415557e-10,0.0008111225210907736,0.0012532660193225011,0.0000024838612749947085,0.08740263163632639
0,sUSDS,arbitrum,psm3_arbitrum,,,,,,,1416.3476316349456,3600.391979979363,5394.218334718592,8894.90064201771,7507.685629348705,12231.45807788354,17794.95469419635,28434.621536549435,28227.044257766207,37592.41375988284,41935.34985837367,45215.68931556,55862.04013558032,52617.352440243536,53129.538696107855,5143.181316634401,404997.1883064775
0,sUSDS,base,psm3_base,,,0.00021682643606817057,0.04221284388716598,1.2189676580740634,60.322580438150744,1470.5675894828978,3357.273963283128,6376.498095090194,6321.69390573768,5891.2199403308605,3382.250276323667,3697.601391665943,2992.2751767144528,3712.195540863337,4278.714910310002,4173.720249556032,3885.892711844961,5101.577411444659,5772.285533035859,4317.5241466064945,913.1832838986527,65706.05810395538
0,sUSDS,ethereum,susds_susdc,474.50740038221517,8164.179615833279,10401.038998041568,11525.336631591697,32263.423390345364,18255.40741832473,8292.155016715973,7586.504210698295,7915.770444780208,4693.855075672736,4442.01738631757,3968.472088222267,3757.2158869065875,3550.31251236605,2687.4761350839744,2823.0345880430946,1962.2143074942928,1004.4635239598531,3118.93117824739,9686.652415387507,14812.280849327826,746.4636921617989,162131.7127659043
0,sUSDS,optimism,psm3_optimism,,,,,,,,,,21978.62277062243,10282.01372918522,16893.16990040858,30184.231766664045,26781.612897843872,33371.8422609291,47852.0789541482,30405.085615462012,14954.095131696504,8609.922431456971,6002.805230226429,2815.9982812913786,187.29867045960174,250318.7776403943
0,sUSDS,unichain,psm3_unichain,,,,,,,,,,6877.089936293209,14149.743673572812,16404.4870386806,15147.348411276122,12789.774639817799,5566.643584460253,2770.23012305227,1269.6682292989105,597.8307115308853,269.1892759479744,145.82276265440265,80.8184680510363,6.6345648309708505,76075.28141946724
0,USDS-CLE,ethereum,farms,,,,,118.4355573440726,13.692982902488524,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.0004916811533117738,0.0005080705250888329,0.00042360231015337035,0.0003826085382030442,324.5719582459788,1121.4381124454737,340.38485218245245,17.104553525016154,1935.6338380040945
0,USDS-SKY,ethereum,farms,4.401314091599466,11.203737004808728,,0.000002462503109503134,3524.6171423948526,3972.354163381988,4539.834965420368,5560.125177195898,5410.969680679668,6411.146737140767,2890.874700574073,1773.4041185570652,3141.946773080427,2492.1769560649745,400.40465450305976,112.58876518670374,93.87074582121544,84.776512549346,4.305060941002724,0.21051423973706793,0.21832827918148145,0.02112854314659499,40429.45117811238
0,USDS-SPK,ethereum,farms,,,,,,,,,,0.00019453477318019495,0.0010618673974356605,0.0010618673974356605,0.0014587430536138566,0.0015699379225244923,0.0015192947637333797,0.0015699379225244923,0.0013089311383739147,0.0011822603830474066,180.5964086193762,179.82666709926752,115.57689776385295,10.059589161220478,486.07049001846906
1,stUSDS,ethereum,stusds,,,,,,,,,,,,,,5515.856264150468,2822.8590953099074,5440.326377182755,1800.5532416249325,3037.9224699586425,2945.7939443625082,3010.982579412555,3711.5454371763753,352.485833779755,28638.325242957893
1,sUSDS,arbitrum,psm3_arbitrum,,,,,,,535.9419288652737,861.2765393717424,644.4863268171068,574.444507372108,591.7783072205026,477.75243571570115,383.51995380425217,727.0902319084746,1140.044682572897,2043.3924753398976,1193.0077982823664,1321.905543193465,1959.3635230356258,2150.9936754525097,2524.2344706520835,251.56527061458706,17380.797670218595
1,sUSDS,base,psm3_base,,,,0.0003645113459577506,469.1722703103379,4723.919137129459,1855.6145137912738,1083.4234887484456,835.866882228442,830.3959151164697,775.1563998714755,584.1816571410621,529.8437473048764,366.3313751652311,441.1515163690316,730.5356576492204,675.0870302695016,548.0754876135845,543.7894165299759,451.3867397813677,430.04044721069164,101.24324653842913,15975.215293280224
1,sUSDS,ethereum,susds_susdc,,,,,25835.258305125182,62295.24076007491,37002.497072854974,32154.285216022283,33695.01579598651,36406.37829452243,37550.64571145953,36694.48775438325,63448.20582040812,82214.12949415793,73772.5061768296,95448.4807054874,79435.66021373287,64674.78299602023,94380.41070659971,91571.17634192403,101000.03911701727,10093.754835688942,1057672.9553182952
1,sUSDS,optimism,psm3_optimism,,,,,,,,,,0.004615324176179442,2.2821634090717122,1.1891006403064697,15.585605399382118,20.763156656956575,39.21358384550319,154.27364645383463,129.0867698981236,111.4513817904673,149.26474075168844,138.6032200449473,140.8413233912452,13.677744139766883,916.2370517454696
1,sUSDS,unichain,psm3_unichain,,,,,,,,,,0.6158905014723962,5.902570643632142,1.211502249314148,0.8835414079367933,0.8635526814852011,0.10475324264937384,0.10775513406631325,0.5523649185591669,0.5117144341828732,0.5682695572591383,0.55159729300586,0.5717047320518563,0.055417743203483034,12.500634538818748
1,USDS-CLE,ethereum,farms,,,,,46.59510060761274,706.7903577216373,3579.5589954962184,4302.142483796068,5162.989467549458,5320.316723974892,4189.404510499298,4210.4721531340665,2881.1467749746353,6856.119280847898,6485.803069235147,5954.684275045502,5139.569418021427,4193.825801997757,6259.944050521851,5552.85434194411,8195.19685678184,810.9827762958994,79848.39643844531
1,USDS-SKY,ethereum,farms,,,,,2539.2014803539228,32015.58823050835,120139.26551698534,124790.53944289174,112970.08649062597,102638.2171554632,89079.95684317105,45345.64020189439,47740.6665418796,48216.00590768282,28350.573275756287,29287.411609004812,26939.33549502676,5782.404728469448,2741.322685099765,1747.612625557761,1012.7506996229465,90.41178858250437,821426.9907185767
1,USDS-SPK,ethereum,farms,,,,,,,,,,975.9058319672391,72849.96362410365,72140.53933635172,15732.001000278398,13130.821950005085,26928.25479347305,21642.30432474869,14315.545141962413,17223.42714005231,11831.24961987136,11558.71954463901,12022.194630382746,1099.33084350513,291450.25778134086
2,sUSDS,arbitrum,psm3_arbitrum,,,,,,,5.584834287816195e-20,1.3426763155814005e-19,0.0008315622085926167,,5.266794807864408e-15,3.1486455206801856e-14,3.0502274149517323e-15,,,1.316918434992892e-22,,1.0013989983283447e-20,,,,,0.0008315622086324204
2,sUSDS,base,psm3_base,,,,,,6.775883427292598e-20,6.7930530110673734e-15,1.3999664590477446e-14,0.00014793180266169526,6.615362270430045e-13,1.1346373942617906e-15,1.0424577460338363e-15,3.473282387035084e-11,5.044270667952489e-20,4.864503537380469e-18,1.3221627880980702e-15,6.609852417539209e-16,3.009733848924079e-20,6.243080047028427e-16,5.479422942743827e-16,5.326649569960683e-18,2.803170101515208e-18,0.00014793183808219372
10,sUSDC,ethereum,susds_susdc,,,,,,,,,,,,1.5025358710190683e-7,,,,,,,,,,,1.5025358710190683e-7
99,sUSDS,arbitrum,psm3_arbitrum,,,,,,7234.488812469901,46258.95135347503,41395.631501637756,41805.0047686701,39093.00769075138,42547.190075899445,38165.943763666095,31613.015195787924,22463.585364207804,20535.772808620277,12210.935864386023,42902.15295499348,88879.51688819335,91834.4165652539,89114.02843963339,93529.32404212539,9125.253064030856,758708.2191538021
99,sUSDS,base,psm3_base,,,2149.501825006988,49083.48438506656,45595.58933420588,34828.86098637845,89369.02050354792,91184.72108566963,93396.90499555747,91039.0540730944,97160.70358446226,103751.30199160051,100708.24334695138,105972.84763992931,102018.51757601999,105130.9319801093,87415.68309872584,79163.16558313803,86471.40363954601,82506.41524327121,87423.64872832817,26035.471283142393,1560405.4708837518
99,sUSDS,ethereum,susds_susdc,6031.6454905281325,248574.07780642842,181009.2893195968,234544.7079970605,500415.9382941288,1102619.8042473884,1409036.283449561,1195904.7512042616,1031823.7198284938,1005756.6001690971,865101.1792378904,780908.4047427706,826394.7860440051,1115003.5279712575,1568723.2006447345,1904865.1701101875,1400745.170204988,1273072.3530194934,1492528.0227453772,1431678.408109325,1587609.5848061081,132505.74510853447,21294852.370551217
99,sUSDS,optimism,psm3_optimism,,,,,,,,,,24619.915165825747,40794.438102702334,34379.54624641186,19613.04381162408,24873.747226196676,16777.760665053567,4036.3321108527007,29421.93220182803,62011.396440588855,76513.30019113688,76625.28551663243,82614.20965094063,8032.870803218117,500313.7781330119
99,sUSDS,unichain,psm3_unichain,,,,,,,,,,39720.31376170009,35880.7368374142,34869.188803428304,34665.37095932824,38883.34173526414,44627.32048229378,49281.3073309664,42272.035265485574,38853.44302911627,43545.45043797237,42386.332022251474,44001.77663316874,4266.477878565139,493253.09517695475
