Jan,code,dr,Feb,code,dr,Mar,code,dr,Apr,code,dr,May,code,dr
sUSDC,1017,14.75267566,sUSDC,1017,315.0057417,sUSDS,1017,0.01369272184,sUSDC,1017,190.5881396,sUSDC,1017,0.09289847888
sUSDS,1017,1.064235778,sUSDC,1017,6.556093278,sUSDC,1017,332.5656135,sUSDC,1017,2.889341703,sUSDS,1017,0.01377642395
sUSDS,123623963915635,0.001462257866,sUSDC,1017,28.1031644,sUSDC,1017,5.836936034,sUSDC,1017,21.16107283,sUSDS,1017,0
sUSDC,127,758.1653672,sUSDS,123623963915635,0.001003769419,sUSDS,123623963915635,0.0006836087042,sUSDS,123623963915635,0.003786740023,sUSDS,123623963915635,0.006542578874
sUSDC,127,43.77019817,USDS-SPK,127,208.8404908,sUSDS,123623963915635,0.004650947091,sUSDC,127,280.1826789,sUSDS,123623963915635,0.00656520911
sUSDC,127,592.6763897,sUSDC,127,206.4895883,sUSDC,127,5.62995298,sUSDC,127,4.58295463,sUSDC,127,297.8152285
sUSDC,127,44.38530554,sUSDC,127,624.0169524,sUSDC,127,950.0092783,sUSDC,127,906.8137852,sUSDC,127,0.5860207217
USDS-SPK,127,445.7983226,sUSDC,127,5026.553016,USDS-SPK,127,351.9038469,sUSDC,127,384.236873,sUSDC,127,306.9057588
sUSDC,127,6151.575637,sUSDC,127,8.809196725,sUSDC,127,3368.465366,sUSDC,127,2041.841316,sUSDC,127,82.12606164
sUSDC,128,40858.55001,sUSDC,127,730.0836181,sUSDC,127,316.12514,USDS-SPK,127,398.2065638,USDS-SPK,127,172.6900034
sUSDC,128,24288.55229,sUSDS,128,486206.4658,sUSDC,127,776.728474,sUSDC,128,3967.754203,sUSDC,127,43.49062545
sUSDC,128,3768.670105,sUSDC,128,9944.209208,sUSDC,128,5251.015448,USDS-SPK,128,299722.7867,sUSDC,128,31.78798077
USDS-SKY,128,24701.55999,sUSDS,128,752.5969937,sUSDC,128,3943.346798,USDS-SKY,128,1856.070175,sUSDS,128,2732.371766
USDS-SPK,128,235664.873,sUSDS,128,536.8155374,sUSDS,128,3.31622495,sUSDS,128,2171.336037,sUSDC,128,10595.97667
sUSDC,128,1227.408382,sUSDS,128,711.8893092,USDS-SKY,128,2564.933267,sUSDC,128,50305.4785,sUSDS,128,2043.433301
sUSDC,128,252556.726,sUSDC,128,85415.21686,USDS-SPK,128,236906.0317,sUSDS,128,789946.1607,sUSDC,128,1084.505636
sUSDS,128,358017.6994,sUSDC,128,589.7323607,sUSDC,128,54285.74866,sUSDS,128,3.107683828,sUSDS,128,739456.7895
sUSDS,128,781.2401726,sUSDS,128,3.156252463,sUSDS,128,1522.38083,sUSDS,128,2690.136677,sUSDS,128,1395.142317
sUSDS,128,1.756793992,sUSDC,128,44201.58786,sUSDS,128,768363.131,sUSDS,128,1140.564743,sUSDC,128,20544.06254
sUSDS,128,566.9827984,sUSDC,128,3143.425402,sUSDC,128,66237.17938,sUSDC,128,32646.30751,sUSDS,128,3.210129364
sUSDS,128,569.5547686,USDS-SPK,128,206655.1323,sUSDC,128,263.8789106,sUSDC,128,141.4106137,sUSDC,128,1638.582732
sUSDS,129,0.0004397935754,USDS-SKY,128,3391.151747,sUSDS,128,1165.06704,sUSDC,128,5122.302263,USDS-SKY,128,221.6585584
sUSDC,129,2.581023595,sUSDS,129,0.2854033521,sUSDS,128,1335.025252,sUSDS,129,0.0001477205552,USDS-SPK,128,400488.0279
USDS-SKY,13425,859.0281223,sUSDC,129,0.5940608761,sUSDS,129,0.5129530393,sUSDC,129,0.2135439226,sUSDS,129,0.895614637
sUSDS,13425,0.0001672180604,USDS-SKY,13425,775.8963685,sUSDC,129,0.3933739606,sUSDS,129,0.6818947873,sUSDC,129,0.2370497893
sUSDS,170,0.00001369491921,sUSDS,13425,0.0001515151811,USDS-SKY,13425,859.0311753,sUSDS,13425,0.0001633463861,sUSDS,129,0.0009024295058
sUSDS,171,0.001840819592,sUSDS,170,0.00001240887593,sUSDS,13425,0.0001682722231,USDS-SKY,13425,641.9254404,sUSDS,13425,0.0001693008521
sUSDS,171,0.0002789770896,sUSDS,171,0.001667954485,sUSDS,170,0.0000137812535,sUSDS,170,0.00001337783453,USDS-SKY,13425,9.680739722
sUSDC,182,0.02420912909,sUSDS,171,0.0002527793001,sUSDS,171,0.0002807357806,sUSDS,171,0.0002725177987,sUSDS,170,0.0000138654968
sUSDC,182,0.000007956360088,sUSDC,182,0.02193573216,sUSDS,171,0.001852424323,sUSDS,171,0.00179819826,sUSDS,171,0.00186374799
sUSDS,183,21358.78145,sUSDC,182,0.000007209205387,sUSDC,182,0.02436174401,sUSDC,182,0.000007772142612,sUSDS,171,0.0002824518973
sUSDC,186,841.8576747,sUSDS,183,13294.73884,sUSDC,182,0.000008006516932,sUSDC,182,0.02364860335,sUSDC,182,0.009807202683
sUSDS,186,0.0417635331,sUSDS,186,0.01555661486,sUSDS,183,11126.9947,sUSDS,183,9924.770851,sUSDC,182,0.000003223149238
sUSDC,188,1187.952126,sUSDC,186,1038.812804,sUSDS,186,0.0001307777855,sUSDS,186,0.0001269495241,sUSDS,183,11861.70111
sUSDC,190,0.003447897993,sUSDC,188,270.5587683,sUSDC,186,2313.827823,sUSDC,186,1373.642929,sUSDC,186,196.9190816
sUSDS,190,0.1584363175,sUSDS,190,0,sUSDC,188,3534.522601,sUSDC,188,6062.075488,sUSDS,186,0.0001315772152
sUSDC,190,85.11769958,sUSDC,190,0.003124117625,sUSDS,188,0.0001785459966,sUSDS,188,0.0002318104675,sUSDS,188,3614.5029
sUSDC,190,0,sUSDC,190,44.91555529,sUSDC,190,0,sUSDC,190,0,sUSDC,188,378.2078676
sUSDS,192,0,sUSDC,190,0,sUSDS,190,0,sUSDS,190,7.62859795,sUSDC,190,0.00139675551
sUSDC,192,56734.19233,sUSDS,192,0,sUSDC,190,42.82968367,sUSDC,190,25.04318623,sUSDC,190,0.002421457549
sUSDC,194,4.55961575,sUSDC,192,41800.88406,sUSDC,190,0.00346963352,sUSDC,190,0.003368067133,sUSDC,190,0
sUSDC,194,0,sUSDC,194,3.901540237,sUSDC,191,480.4238846,sUSDC,191,2298.475437,sUSDS,190,6.806173264
sUSDC,194,0.3242450548,sUSDC,194,0,sUSDS,192,0,sUSDS,192,0,sUSDC,191,1344.96444
sUSDC,194,0.08139738269,sUSDC,194,0.07375363148,sUSDC,192,48341.56144,sUSDC,192,37733.02314,sUSDS,192,0
sUSDC,195,3884.560739,sUSDC,194,0.2844758943,sUSDC,194,0,sUSDC,194,0.02278735417,sUSDC,192,10576.21532
sUSDC,196,0.03183001847,sUSDC,195,1673.208365,sUSDC,194,0.08191051371,sUSDC,194,3.973249329,sUSDC,194,0.1271857632
stUSDS,197,34098.67382,sUSDC,196,0.2236562996,sUSDC,194,0.315937889,sUSDC,194,0,sUSDC,194,0
sUSDS,2,0,stUSDS,197,31546.09788,sUSDC,194,4.306762434,sUSDC,194,0.3066894479,sUSDC,194,1.62731318
sUSDS,2,0,sUSDS,2,0,sUSDC,195,7622.596184,sUSDC,195,0.7046798921,sUSDC,194,0
sUSDC,200,0.00002873841102,sUSDS,2,0,sUSDC,196,0.2544033251,sUSDC,195,4973.532053,sUSDC,195,0.7522242449
