Partner Name,Referral Code,Wallet Address,Prime Agent,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total
"summerfi","1001","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","0","0","263.3","307.3","158.2","73.9","83.1","0","0","0","885.9"
"-","untagged","-","-","2,290.9","2,004.3","662.7","1,226.1","1,382.5","2,031.1","3,577.7","2,172.7","1,675.4","1,298.7","18,322"
"defisaver","1002","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","0","0","0.5","0.5","0.7","0.5","0.6","0.6","0.9","0.6","4.9"
"Spark.lend","128","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","0","0","5,867.7","7,081.3","5,762.1","8,552.4","6,598","4,966.6","3,409.1","2,643.2","44,880.4"
