Partner Name,Referral Code,Wallet Address,Prime Agent,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total
"lazysummer","1016","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","0","0","0","0","0","0","0","0"
"cow","1003","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","0","54.2","14,140.2","4,305.3","1,767.7","426.2","296.3","20,989.9"
"-","untagged","-","-","12,138.3","25,513.5","8,995.8","8,760.8","13,143.7","7,862.5","3,032.4","79,447"
"-","197","-","Spark","16,159.3","17,554.5","17,402.5","33,944.8","31,463.9","5,569.2","8,262.2","130,356.5"
"paraswap","1004","-","-","0","0","0","0","32.8","143","137.5","313.4"
