"Referral Code","Partner Name","Wallet Address","Prime Agent","Token","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Jan 2025","Feb 2025","Mar 2025","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026","Apr 2026","Total"
"205","-","-","Spark","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","1"
"216","-","-","Spark","sUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","216.5","378.3","594.8"
"216","-","-","Spark","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","216.5","378.3","594.8"
"219","-","-","Spark","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.3","14.3"
"219","-","-","Spark","Grand Total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.3","14.3"
"303","-","-","Spark","SKY Farm","0","0","1.7","41.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.1"
"303","-","-","Spark","Legacy SKY+CLE","0","0","16.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.1"
"303","-","-","Spark","Grand Total","0","0","17.8","41.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.3"
"1001","summerfi","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","9,407.8","4,863.2","1,017.9","954.6","865.7","785.7","880.9","0","0","0","18,775.9"
"1001","summerfi","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","SKY Farm","0","0","0","0","0","0","0","0","0","0","0","0","1,651.7","903","2,325.8","2,639.6","1,291","0","0","0","8,811.1"
"1001","summerfi","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","Chronicle (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","263.3","307.3","158.2","73.9","83.1","0","0","0","885.9"
"1001","summerfi","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","Legacy SKY+CLE","154.4","4,819.8","7,667.1","10,486.9","9,324","7,586.4","5,594.6","5,256.3","5,127.8","4,520.1","0","0","0","0","0","0","0","0","0","0","60,537.4"
"1001","summerfi","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","Grand Total","154.4","4,819.8","7,667.1","10,486.9","9,324","7,586.4","5,594.6","5,256.3","5,127.8","4,520.1","9,407.8","4,863.3","2,932.9","2,164.9","3,349.7","3,499.2","2,255","0","0","0","89,010.3"
"1002","defisaver","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","4,793.2","4,410.6","3,007.5","3,047.4","2,032","1,599.7","1,968.1","2,966.6","29,180.8","28,939.1","81,945.1"
"1002","defisaver","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","SKY Farm","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1.3","1.2","1.3","1.2","9"
"1002","defisaver","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","Chronicle (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0.5","0.7","0.5","0.6","0.6","0.9","0.6","4.9"
"1002","defisaver","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","Legacy SKY+CLE","0","650.1","808.5","1,160.2","1,792.1","2,359.1","3,026.9","2,500.8","1,880.4","1,971","0","0","0","0","0","0","0","0","0","0","16,149.1"
"1002","defisaver","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","Grand Total","0","650.1","808.5","1,160.2","1,792.1","2,359.1","3,026.9","2,500.8","1,880.4","1,971","4,793.2","4,410.7","3,009","3,048.9","2,033.7","1,601.2","1,970","2,968.3","29,183","28,941","98,108.1"
"1003","cow","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","49,359.9","48,904.7","34,069.5","33,120.5","27,310.3","55,599.4","62,902.5","50,866.1","58,037.4","51,504.7","471,675"
"1003","cow","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","stUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.2","14,140.2","4,305.3","1,767.7","426.2","296.3","20,989.9"
"1003","cow","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","Legacy SKY+CLE","67.4","1,472.5","3,345.4","5,087.3","9,157","15,031.8","17,639.1","19,053.1","18,618.2","20,069.6","0","0","0","0","0","0","0","0","0","0","109,541.3"
"1003","cow","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","Grand Total","67.4","1,472.5","3,345.4","5,087.3","9,157","15,031.8","17,639.1","19,053.1","18,618.2","20,069.6","49,359.9","48,904.7","34,069.5","33,120.5","27,364.4","69,739.6","67,207.7","52,633.8","58,463.7","51,821.5","602,226.8"
"1004","paraswap","-","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","4,249.4","5,896.3","214.4","182.6","169.7","130.5","228.6","233.6","386.6","579.7","12,271.4"
"1004","paraswap","-","-","sUSDC Farm","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0.3"
"1004","paraswap","-","-","stUSDS Farm","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.8","143","137.5","313.4"
"1004","paraswap","-","-","Legacy SKY+CLE","0","0","314","195.5","350.5","308.1","212","429.2","713.5","1,061","0","0","0","0","0","0","0","0","0","0","3,583.7"
"1004","paraswap","-","-","Grand Total","0","0","314","195.5","350.5","308.1","212","429.2","713.5","1,061","4,249.4","5,896.3","214.6","182.6","169.7","130.6","228.6","266.4","529.6","717.2","16,168.7"
"1007","yearn","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","sUSDS Farm","0","0","0","0","0","0","0","0","0","0","21,861.5","21,499.2","501.3","1,629.3","575","1,255.5","1,592.9","8,121.6","11,124.5","8,091.8","76,252.6"
"1007","yearn","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","SKY Farm","0","0","0","0","0","0","0","0","0","0","0","0","2,063.4","839.7","738.3","2,369.1","4,114.4","2,601.3","99","2.7","12,827.9"
"1007","yearn","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","SPK Farm","0","0","0","0","0","0","0","0","0","0","0","0","6,130.6","5,668.5","1,832.1","1,895.9","4,375.4","3,023.8","4,628.6","4,475.1","32,030"
"1007","yearn","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","Legacy SKY+CLE","0","796.4","1,907.2","1,753.1","2,174.1","1,349.1","2,596.1","4,803.3","5,247.9","15,843.7","0","0","0","0","0","0","0","0","0","0","36,470.9"
"1007","yearn","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","Grand Total","0","796.4","1,907.2","1,753.1","2,174.1","1,349.1","2,596.1","4,803.3","5,247.9","15,843.7","21,861.5","21,499.2","8,695.3","8,137.5","3,145.4","5,520.5","10,082.8","13,746.6","15,852.1","12,569.6","157,581.4"
"1015","MOM","-","-","Legacy SKY+CLE","0","0","0","0","7.4","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.1"
"1015","MOM","-","-","Grand Total","0","0","0","0","7.4","6.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.1"
