month,blockchain,token,ref_code,dr_usd,source
2025-01-01,ethereum,USDS-SKY,1002,5.263312136682424,farms
2025-01-01,ethereum,USDS-SKY,1007,3270.1993101177186,farms
2025-01-01,ethereum,sUSDS,0,30370.33192348101,susds_susdc
2025-01-01,ethereum,sUSDS,1,25667.268739052557,susds_susdc
2025-01-01,ethereum,sUSDS,99,477514.2626373818,susds_susdc
2025-01-01,ethereum,sUSDS,128,59167.65255278648,susds_susdc
2025-01-01,ethereum,sUSDS,303,0.0020797608237225,susds_susdc
2025-01-01,ethereum,sUSDS,1001,11674.4295665012,susds_susdc
2025-01-01,ethereum,sUSDS,1002,2491.3924521446315,susds_susdc
2025-01-01,ethereum,sUSDS,1003,19684.17126843973,susds_susdc
2025-01-01,ethereum,sUSDS,1004,1247.799401598592,susds_susdc
2025-01-01,ethereum,sUSDS,1015,7.058758855491912,susds_susdc
2025-01-01,ethereum,sUSDS,13425,0.185223327709338,susds_susdc
2025-02-01,arbitrum,sUSDS,99,7234.4888124699,psm3
2025-02-01,base,sUSDS,1,4723.919137129457,psm3
2025-02-01,base,sUSDS,99,34828.86082775225,psm3
2025-02-01,base,sUSDS,128,13692.307203797458,psm3
2025-02-01,base,sUSDS,171,1.0127386167872104e-05,psm3
2025-02-01,base,sUSDS,1015,174.74629773115572,psm3
2025-02-01,base,sUSDS,10000,60.32258043815073,psm3
2025-02-01,ethereum,USDS,9001,167617.09282154223,usds_aave
2025-02-01,ethereum,USDS-CLE,-999999,4467.282890074432,farms
2025-02-01,ethereum,USDS-CLE,0,13.692982902488524,farms
2025-02-01,ethereum,USDS-CLE,1,706.7903577216374,farms
2025-02-01,ethereum,USDS-CLE,128,1215.086178772113,farms
2025-02-01,ethereum,USDS-CLE,1001,181.8525175342592,farms
2025-02-01,ethereum,USDS-CLE,1002,0.1693945437369074,farms
2025-02-01,ethereum,USDS-SKY,-999999,27842.18968260189,farms
2025-02-01,ethereum,USDS-SKY,0,3972.354163381989,farms
2025-02-01,ethereum,USDS-SKY,1,32015.58823050835,farms
2025-02-01,ethereum,USDS-SKY,128,51210.91710912691,farms
2025-02-01,ethereum,USDS-SKY,1001,1620.303553339232,farms
2025-02-01,ethereum,USDS-SKY,1002,312.24113229912103,farms
2025-02-01,ethereum,USDS-SKY,1007,2063.673951053372,farms
2025-02-01,ethereum,sUSDS,0,15718.85356955648,susds_susdc
2025-02-01,ethereum,sUSDS,1,61922.40043987196,susds_susdc
2025-02-01,ethereum,sUSDS,99,1062347.625907902,susds_susdc
2025-02-01,ethereum,sUSDS,128,134353.45693198105,susds_susdc
2025-02-01,ethereum,sUSDS,303,0.0018952912675808,susds_susdc
2025-02-01,ethereum,sUSDS,1001,9750.021033044412,susds_susdc
2025-02-01,ethereum,sUSDS,1002,1878.0177553712144,susds_susdc
